,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Marc-Andre Fleury,MIN,27,1481.0,710,637,73,0.897,2.96,-4.45,65.95,168,133,35,0.792,1.42,-2.85,187,162,25,0.866,1.01,-3.33,322,309,13,0.960,0.53,-1.04,40,118,35.97,21.11
1,Jonathan Quick,NYR,20,1167.8833333333,555,509,46,0.917,2.36,7.58,56.79,153,128,25,0.837,1.28,4.28,146,131,15,0.897,0.77,1.92,229,223,6,0.974,0.31,2.51,32,102,33.89,18.13
2,James Reimer,DET,15,804.86666666667,417,377,40,0.904,2.98,0.26,40.44,109,88,21,0.807,1.57,-0.14,103,88,15,0.854,1.12,-3.07,186,182,4,0.978,0.3,2.91,28,65,35.12,18.90
3,Semyon Varlamov,NYI,17,931.68333333333,511,466,45,0.912,2.9,4.34,49.82,138,113,25,0.819,1.61,1.41,128,117,11,0.914,0.71,3.83,217,208,9,0.959,0.58,-0.94,36,112,34.69,20.47
4,Jacob Markstrom,CGY,35,2055.2166666667,1025,936,89,0.913,2.6,9.96,110.38,312,269,43,0.862,1.26,16.71,277,245,32,0.884,0.93,0.1,392,378,14,0.964,0.41,0.57,84,213,32.43,21.29
5,Jake Allen,MTL,19,1098.25,634,567,67,0.894,3.66,-5.79,65.83,169,134,35,0.793,1.91,-2.66,184,166,18,0.902,0.98,3.32,259,245,14,0.946,0.76,-4.38,29,126,32.88,19.43
6,Michael Hutchinson,DET,1,57.8,36,33,3,0.917,3.11,0.48,2.68,10,8,2,0.800,2.08,-0.09,4,4,0,1.0,0.0,0.46,20,19,1,0.950,1.04,-0.26,2,2,42.61,19.00
7,Martin Jones,TOR,19,1048.7333333333,511,464,47,0.908,2.69,2.34,52.96,136,111,25,0.816,1.43,1.03,138,125,13,0.906,0.74,2.99,216,207,9,0.958,0.51,-0.97,30,98,34.71,18.11
8,Darcy Kuemper,WSH,28,1633.0666666667,812,726,86,0.894,3.16,-7.6,84.88,218,175,43,0.803,1.58,-1.28,195,167,28,0.856,1.03,-5.41,360,345,15,0.958,0.55,-1.62,51,153,35.67,21.47
9,Cam Talbot,L.A,35,1991.6833333333,968,884,84,0.913,2.53,9.46,92.33,225,185,40,0.822,1.21,3.06,249,219,30,0.88,0.9,-1.15,438,424,14,0.968,0.42,2.27,49,170,36.05,19.90
10,Sergei Bobrovsky,FLA,41,2405.85,1127,1031,96,0.915,2.39,12.81,105.17,302,247,55,0.818,1.37,2.8,244,221,23,0.906,0.57,5.27,503,485,18,0.964,0.45,0.69,70,183,37.28,19.76
11,Calvin Pickard,EDM,10,581.08333333333,265,241,24,0.909,2.48,1.58,23.03,62,51,11,0.823,1.14,0.87,64,56,8,0.875,0.83,-0.58,130,125,5,0.962,0.52,-0.17,20,42,34.81,20.08
12,Jack Campbell,EDM,5,266.78333333333,157,137,20,0.873,4.5,-4.84,15.93,47,32,15,0.681,3.37,-6.01,53,49,4,0.925,0.9,2.14,53,52,1,0.981,0.22,0.97,7,22,28.69,12.20
13,Scott Wedgewood,DAL,25,1422.0,697,626,71,0.898,3.0,-3.71,61.87,162,124,38,0.765,1.6,-7.0,189,166,23,0.878,0.97,-1.1,314,304,10,0.968,0.42,1.67,49,109,36.0,18.18
14,Philipp Grubauer,SEA,18,987.03333333333,459,408,51,0.889,3.1,-6.69,44.5,118,87,31,0.737,1.88,-8.42,119,107,12,0.899,0.73,1.79,201,193,8,0.960,0.49,-0.53,37,77,35.63,18.84
15,Louis Domingue,NYR,1,60.0,26,25,1,0.962,1.0,1.51,2.5,6,5,1,0.833,1.0,0.15,6,6,0,1.0,0.0,0.7,14,14,0,1.000,0.0,0.52,0,6,34.15,9.00
16,Petr Mrazek,CHI,39,2208.1,1214,1104,110,0.909,2.99,7.21,115.9,340,275,65,0.809,1.77,0.07,320,294,26,0.919,0.71,11.08,500,481,19,0.962,0.52,-0.42,73,204,34.12,16.50
17,Frederik Andersen,CAR,6,314.08333333333,142,127,15,0.894,2.87,-1.29,14.92,37,28,9,0.757,1.72,-1.92,42,37,5,0.881,0.96,-0.13,55,54,1,0.982,0.19,1.04,9,26,33.96,17.60
18,Laurent Brossoit,WPG,14,843.46666666667,400,368,32,0.92,2.28,6.62,39.03,102,86,16,0.843,1.14,3.52,104,93,11,0.894,0.78,1.05,173,168,5,0.971,0.36,1.43,19,80,35.73,20.25
19,Anton Forsberg,OTT,18,944.63333333333,477,426,51,0.893,3.24,-4.95,47.58,132,106,26,0.803,1.65,-0.74,125,107,18,0.856,1.14,-3.52,192,185,7,0.964,0.44,0.13,28,91,35.39,19.16
20,Jordan Binnington,STL,39,2231.8,1184,1075,109,0.908,2.93,5.31,123.02,328,274,54,0.835,1.45,8.77,284,254,30,0.894,0.81,2.91,516,491,25,0.952,0.67,-5.83,57,222,33.61,20.47
21,Magnus Hellberg,PIT,3,119.88333333333,64,59,5,0.922,2.5,1.18,5.95,16,12,4,0.750,2.0,-0.94,21,20,1,0.952,0.5,1.43,26,26,0,1.000,0.0,0.97,3,11,31.97,16.00
22,John Gibson,ANA,37,2025.1666666667,1030,924,106,0.897,3.14,-6.56,107.62,314,260,54,0.828,1.6,6.09,241,206,35,0.855,1.04,-7.08,439,422,17,0.961,0.5,-0.69,59,188,33.07,19.49
23,Andrei Vasilevskiy,T.B,32,1874.6333333333,900,808,92,0.898,2.94,-5.11,87.39,249,204,45,0.819,1.44,2.65,209,184,25,0.88,0.8,-0.78,398,376,22,0.945,0.7,-7.21,51,159,34.47,22.52
24,Chris Driedger,SEA,2,119.58333333333,60,55,5,0.917,2.51,0.79,6.06,16,13,3,0.813,1.51,0.06,12,10,2,0.833,1.0,-0.61,30,30,0,1.000,0.0,1.11,7,12,32.28,17.00
25,Joonas Korpisalo,OTT,37,2066.1833333333,1038,921,117,0.887,3.4,-16.79,99.01,261,208,53,0.797,1.54,-3.05,278,240,38,0.863,1.1,-5.79,446,420,26,0.942,0.76,-9.43,61,205,34.99,21.88
26,Anthony Stolarz,FLA,17,942.01666666667,416,385,31,0.925,1.97,9.16,39.04,116,96,20,0.828,1.27,2.2,98,90,8,0.918,0.51,3.36,179,176,3,0.983,0.19,3.65,25,72,36.72,17.90
27,Connor Hellebuyck,WPG,40,2402.75,1167,1079,88,0.925,2.2,24.67,114.72,327,273,54,0.835,1.35,8.58,257,233,24,0.907,0.6,5.78,520,510,10,0.981,0.25,9.32,61,229,36.39,18.44
28,Linus Ullmark,BOS,28,1611.7,840,767,73,0.913,2.72,8.1,82.23,236,199,37,0.843,1.38,8.17,211,183,28,0.867,1.04,-3.55,362,354,8,0.978,0.3,5.45,56,158,33.6,19.45
29,Matt Tomkins,T.B,3,176.25,90,80,10,0.889,3.4,-1.31,8.28,23,18,5,0.783,1.7,-0.6,24,21,3,0.875,1.02,-0.22,37,35,2,0.946,0.68,-0.63,5,15,36.27,23.20
30,Antti Raanta,CAR,24,1265.1833333333,493,430,63,0.872,2.99,-15.4,50.99,156,122,34,0.782,1.61,-4.14,125,102,23,0.816,1.09,-8.52,180,174,6,0.967,0.28,0.69,30,108,35.3,16.95
31,Cal Petersen,PHI,4,219.98333333333,100,89,11,0.89,3.0,-1.35,9.79,23,18,5,0.783,1.36,-0.6,27,24,3,0.889,0.82,0.13,42,39,3,0.929,0.82,-1.44,6,23,41.02,23.36
32,Juuse Saros,NSH,44,2444.0833333333,1261,1138,123,0.902,3.02,-1.26,120.4,335,271,64,0.809,1.57,0.11,301,267,34,0.887,0.83,0.88,558,533,25,0.955,0.61,-4.27,87,225,33.91,19.89
33,Tristan Jarry,PIT,36,1958.1833333333,947,866,81,0.914,2.48,10.43,93.35,245,195,50,0.796,1.53,-3.11,238,219,19,0.92,0.58,8.58,405,394,11,0.973,0.34,4.05,63,160,35.84,19.81
34,Eric Comrie,BUF,8,403.11666666667,195,169,26,0.867,3.87,-7.17,22.77,71,55,16,0.775,2.38,-2.41,47,39,8,0.83,1.19,-2.55,70,68,2,0.971,0.3,0.6,13,42,30.67,20.77
35,Spencer Martin,"CAR, CBJ",16,887.21666666667,454,405,49,0.892,3.31,-5.17,46.13,127,100,27,0.787,1.83,-2.69,110,93,17,0.845,1.15,-4.25,197,192,5,0.975,0.34,2.32,25,85,33.77,17.49
36,Pheonix Copley,L.A,8,436.28333333333,177,154,23,0.87,3.16,-5.91,19.98,52,40,12,0.769,1.65,-2.05,46,37,9,0.804,1.24,-3.67,72,70,2,0.972,0.28,0.68,9,32,31.09,18.39
37,Thatcher Demko,VAN,42,2508.9,1248,1146,102,0.918,2.44,18.49,123.81,356,301,55,0.846,1.32,13.13,297,265,32,0.892,0.77,2.41,533,518,15,0.972,0.36,4.8,70,234,34.48,20.37
