,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
0,Rob Blake,S.J,D,70,1493.4333333333,7,23,6,17,30,44.78,182,3.85,10.55,342,244,87,22,4,25,58,28,28,0,0,10,51,19,68,35,114,0,0,-
1,Rod Brind'Amour,CAR,C,80,1017.1666666667,9,10,5,5,19,59.38,95,9.47,11.06,164,132,103,47,5,7,36,18,18,0,0,15,28,29,83,91,31,499,350,58.78
2,Chris Chelios,ATL,D,7,78.216666666667,0,0,0,0,0,-,5,0.00,0.12,12,8,0,0,0,1,0,0,0,0,0,1,5,2,8,1,7,0,0,-
3,Kris Draper,DET,C,81,934.83333333333,7,15,9,6,22,68.75,98,7.14,6.95,155,126,70,31,3,8,28,14,14,0,0,12,12,12,100,53,19,166,153,52.04
4,Mike Modano,DAL,C,59,843.73333333333,14,16,11,5,30,76.92,115,12.17,9.26,194,153,95,32,5,8,22,11,11,0,0,14,41,38,22,55,11,427,420,50.41
5,Owen Nolan,MIN,R,73,1211.7166666667,16,17,9,8,33,66.00,151,10.60,13.91,251,206,127,58,11,12,40,17,15,2,0,18,36,29,51,53,20,184,206,47.18
6,Mark Recchi,BOS,R,81,1381.3833333333,18,25,14,11,43,64.18,152,11.84,17.71,236,191,146,80,8,15,34,17,17,0,0,20,16,26,84,86,22,54,92,36.99
7,Mathieu Schneider,"PHX, VAN",D,25,425.8,2,7,5,2,9,42.86,37,5.41,2.37,98,67,17,2,1,3,16,8,8,0,0,1,14,8,27,23,33,0,0,-
8,Craig Conroy,CGY,C,63,854.68333333333,3,12,9,3,15,75.00,52,5.77,4.69,100,73,58,23,3,4,25,11,10,1,0,13,32,26,43,54,41,453,426,51.54
9,Adam Foote,COL,D,67,1297.1333333333,0,9,5,4,9,16.67,26,0.00,1.26,80,47,19,1,1,5,62,27,26,0,1,14,22,11,111,59,102,0,0,-
10,Bill Guerin,PIT,R,78,1367.2666666667,21,24,12,12,45,51.72,227,9.25,24.94,377,310,214,105,9,20,75,26,20,5,1,16,38,9,77,52,13,14,14,50.00
11,Vyacheslav Kozlov,ATL,L,55,839.65,8,18,9,9,26,72.22,113,7.08,10.01,189,148,91,35,7,15,33,11,9,1,1,6,25,31,17,40,10,6,9,40.00
12,Robert Lang,PHX,C,64,964.43333333333,9,20,13,7,29,55.77,84,10.71,10.3,164,128,109,51,3,9,28,14,14,0,0,8,24,9,30,32,21,375,359,51.09
13,Nicklas Lidstrom,DET,D,82,2085.0166666667,9,40,19,21,49,39.20,194,4.64,10.17,404,285,90,9,5,12,24,12,12,0,0,7,53,36,56,45,82,0,0,-
14,Brad May,DET,L,40,278.98333333333,0,1,1,0,1,20.00,26,0.00,2.26,43,34,23,15,2,1,66,18,8,10,0,16,7,3,58,33,4,0,1,0.00
15,Teemu Selanne,ANA,R,54,935.3,27,21,18,3,48,72.73,173,15.61,19.88,269,232,168,84,7,12,16,8,8,0,0,9,39,17,14,46,13,62,69,47.33
16,Darryl Sydor,STL,D,47,785.28333333333,0,8,3,5,8,36.36,26,0.00,1.2,68,39,15,2,0,1,15,5,4,1,0,4,14,5,18,51,85,0,1,0.00
17,Keith Tkachuk,STL,L,67,904.55,13,19,15,4,32,62.75,120,10.83,16.8,194,164,136,78,2,10,56,28,28,0,0,17,30,11,98,29,13,389,306,55.97
18,Doug Weight,NYI,C,36,570.35,1,16,9,7,17,54.84,61,1.64,6.03,105,84,55,25,5,11,8,4,4,0,0,3,19,19,15,17,16,69,83,45.39
19,Scott Niedermayer,ANA,D,80,2120.3,10,38,13,25,48,41.38,168,5.95,9.93,304,218,107,29,6,16,38,19,19,0,0,9,50,46,58,45,80,0,1,0.00
20,Aaron Ward,"ANA, CAR",D,77,1332.4333333333,1,12,1,11,13,27.08,41,2.44,1.64,115,63,18,2,0,7,62,31,31,0,0,11,24,12,177,105,146,0,0,-
21,Brian Rolston,N.J,R,80,1354.2,20,17,10,7,37,62.71,232,8.62,17.86,401,301,164,54,10,19,22,11,11,0,0,15,22,34,91,48,19,32,31,50.79
22,Alex Kovalev,OTT,R,77,1398.3666666667,18,31,20,11,49,62.82,165,10.91,19.35,329,236,174,79,4,20,54,27,27,0,0,30,71,34,34,110,19,1,2,33.33
23,Dean McAmmond,N.J,C,62,797.13333333333,8,9,6,3,17,70.83,87,9.20,8.31,141,117,83,39,6,4,40,12,10,0,2,14,31,32,14,51,21,253,303,45.50
24,Ray Whitney,CAR,L,80,1531.85,21,37,26,11,58,61.05,171,12.28,19.21,337,259,184,74,6,13,26,13,13,0,0,24,42,64,24,39,27,3,6,33.33
25,Steve Staios,"CGY, EDM",D,58,1084.8666666667,1,9,6,3,10,32.26,61,1.64,2.57,129,90,24,2,5,6,75,33,30,3,0,21,33,12,54,71,116,0,0,-
26,Mike Knuble,WSH,R,69,1164.45,29,24,14,10,53,57.61,151,19.21,19.75,259,212,173,99,6,9,59,24,22,1,1,15,18,33,72,87,34,0,6,0.00
27,Sean O'Donnell,L.A,D,78,1461.55,3,12,5,7,15,28.30,44,6.82,1.36,111,74,14,2,2,5,70,29,25,4,0,11,57,19,88,68,98,0,1,0.00
28,Roman Hamrlik,MTL,D,75,1757.8666666667,6,20,14,6,26,33.77,100,6.00,5.32,225,148,57,12,4,13,56,28,28,0,0,8,86,28,59,75,157,0,0,-
29,Cory Stillman,FLA,L,58,1018.9333333333,15,22,16,6,37,72.55,126,11.90,12.41,249,200,127,53,9,12,22,10,10,0,0,11,23,25,66,55,22,18,11,62.07
30,Sergei Gonchar,PIT,D,62,1512.75,11,39,17,22,50,50.51,138,7.97,8.71,300,204,69,9,1,11,49,23,22,1,0,11,40,19,65,92,92,0,0,-
31,Kirk Maltby,DET,L,52,525.56666666667,4,2,1,1,6,66.67,43,9.30,4.04,81,63,37,14,3,0,32,16,16,0,0,13,10,17,83,65,25,7,6,53.85
32,Craig Rivet,BUF,D,78,1421.1333333333,1,14,8,6,15,30.61,63,1.59,3.57,151,90,40,9,6,8,100,32,24,6,2,16,40,17,61,84,56,0,0,-
33,Jere Lehtinen,DAL,R,58,855.13333333333,4,13,6,7,17,62.96,87,4.60,8.27,155,121,82,44,6,3,8,4,4,0,0,15,14,38,44,64,21,2,9,18.18
34,Adrian Aucoin,PHX,D,82,1849.45,8,20,5,15,28,37.84,144,5.56,7.62,314,222,61,8,3,9,56,28,28,0,0,11,22,17,132,27,67,1,0,100.00
35,Derek Armstrong,STL,C,6,41.916666666667,0,0,0,0,0,-,6,0.00,0.99,9,8,5,3,0,0,2,1,1,0,0,1,1,0,4,4,0,7,8,46.67
36,Ian Laperriere,PHI,R,82,1024.1333333333,3,17,9,8,20,64.52,53,5.66,5.02,106,80,46,14,4,6,162,38,11,26,1,36,12,21,171,69,74,28,38,42.42
37,Stephane Yelle,"CAR, COL",C,70,662.45,4,4,1,3,8,47.06,39,10.26,3.61,70,55,36,20,4,2,32,16,16,0,0,8,6,16,90,71,47,181,199,47.63
38,Donald Brashear,NYR,L,36,225.08333333333,0,1,0,1,1,50.00,18,0.00,1.45,30,23,19,6,1,1,73,19,9,9,1,12,6,6,43,25,9,0,0,-
39,Chris Pronger,PHI,D,82,2123.9833333333,10,45,16,29,55,46.61,175,5.71,8.16,343,223,62,7,3,17,79,34,32,1,1,13,58,40,104,70,189,0,0,-
40,Paul Kariya,STL,L,75,1286.5,18,25,13,12,43,74.14,221,8.14,18.14,374,294,202,81,18,13,36,18,18,0,0,24,28,24,36,66,25,4,6,40.00
