,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
0,8474590,John Carlson,WSH,D,https://assets.nhle.com/mugs/nhl/20232024/WSH/8474590.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,johncarlson,82,2123.1166666667,10,42,16,26,52,46.85,176,5.68,12.36,439,274,144,28,11,50,40,16,15,0,1,16,82,58,61,87,194,0,0,-
1,8474563,Drew Doughty,LAK,D,https://assets.nhle.com/mugs/nhl/20232024/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_20192020-20232024_light.svg,drewdoughty,82,2115.0666666667,15,35,14,21,50,43.86,135,11.11,8.3,306,184,84,12,7,27,44,22,22,0,0,13,45,20,104,122,142,0,0,-
2,8476875,Mike Matheson,MTL,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8476875.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,michaelmatheson,82,2095.3333333333,11,51,24,27,62,57.94,187,5.88,10.1,403,252,115,23,6,30,58,29,29,0,0,23,76,49,47,113,186,0,0,-
3,8477495,Seth Jones,CHI,D,https://assets.nhle.com/mugs/nhl/20232024/CHI/8477495.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,sethjones,67,1707.45,8,23,12,11,31,39.24,172,4.65,9.25,377,238,111,12,11,37,34,17,17,0,0,7,60,40,70,80,131,0,0,-
4,8480839,Rasmus Dahlin,BUF,D,https://assets.nhle.com/mugs/nhl/20232024/BUF/8480839.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,rasmusdahlin,81,2059.2166666667,20,39,24,15,59,53.15,235,8.51,14.63,474,326,140,21,11,38,66,29,28,0,1,27,44,42,174,157,154,0,0,-
5,8482122,Brock Faber,MIN,D,https://assets.nhle.com/mugs/nhl/20232024/MIN/8482122.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,brockfaber,82,2046.8333333333,8,39,18,21,47,42.34,136,5.88,7.44,293,186,88,15,3,24,26,13,13,0,0,6,35,15,59,122,150,0,0,-
6,8479325,Charlie McAvoy,BOS,D,https://assets.nhle.com/mugs/nhl/20232024/BOS/8479325.png,https://assets.nhle.com/logos/nhl/svg/BOS_20232024_light.svg,charliemcavoy,74,1838.6,12,35,16,19,47,43.93,133,9.02,9.19,288,198,114,23,6,25,76,31,28,2,1,32,57,29,146,172,159,0,0,-
7,8475167,Victor Hedman,TBL,D,https://assets.nhle.com/mugs/nhl/20232024/TBL/8475167.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,victorhedman,78,1934.7333333333,13,63,32,31,76,50.33,168,7.74,12.44,403,268,133,20,6,34,76,26,23,0,3,9,54,29,56,65,102,0,0,-
8,8480069,Cale Makar,COL,D,https://assets.nhle.com/mugs/nhl/20232024/COL/8480069.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,calemakar,77,1907.2666666667,21,69,28,41,90,59.60,231,9.09,15.62,539,352,179,23,14,38,16,8,8,0,0,25,42,70,36,29,148,0,0,-
9,8471724,Kris Letang,PIT,D,https://assets.nhle.com/mugs/nhl/20232024/PIT/8471724.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,krisletang,82,2012.15,10,41,18,23,51,46.79,163,6.13,7.93,414,238,101,15,6,34,62,27,26,0,1,15,64,47,126,113,136,0,0,-
10,8480800,Quinn Hughes,VAN,D,https://assets.nhle.com/mugs/nhl/20232024/VAN/8480800.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,quinnhughes,82,2024.1666666667,17,75,35,40,92,56.79,199,8.54,11.45,540,298,166,10,8,54,38,19,19,0,0,17,52,43,29,115,55,0,0,-
11,8474600,Roman Josi,NSH,D,https://assets.nhle.com/mugs/nhl/20232024/NSH/8474600.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,romanjosi,82,2019.75,23,62,38,24,85,57.43,269,8.55,16.29,602,380,211,25,8,53,45,21,20,1,0,15,60,33,41,112,151,0,0,-
12,8480036,Miro Heiskanen,DAL,D,https://assets.nhle.com/mugs/nhl/20232024/DAL/8480036.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,miroheiskanen,71,1742.3666666667,9,45,22,23,54,45.38,162,5.56,10.62,401,239,117,13,7,47,36,13,12,0,1,20,36,33,53,143,97,0,0,-
13,8480865,Noah Dobson,NYI,D,https://assets.nhle.com/mugs/nhl/20232024/NYI/8480865.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,noahdobson,79,1937.1166666667,10,60,35,25,70,56.00,174,5.75,6.86,447,253,106,11,11,31,36,18,18,0,0,7,62,32,72,136,180,0,0,-
14,8478460,Zach Werenski,CBJ,D,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8478460.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,zachwerenski,70,1711.6,11,46,19,27,57,50.89,203,5.42,11.41,443,286,138,29,6,41,22,11,11,0,0,3,26,35,20,44,130,0,0,-
15,8475764,Cam Fowler,ANA,D,https://assets.nhle.com/mugs/nhl/20232024/ANA/8475764.png,https://assets.nhle.com/logos/nhl/svg/ANA_20132014-20232024_light.svg,camfowler,81,1975.95,5,34,15,19,39,51.32,109,4.59,5.09,258,151,66,4,3,14,24,12,12,0,0,4,44,27,35,60,119,0,0,-
16,8474578,Erik Karlsson,PIT,D,https://assets.nhle.com/mugs/nhl/20232024/PIT/8474578.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,erikkarlsson,82,1979.0666666667,11,45,24,21,56,46.67,213,5.16,11.42,547,309,155,20,12,51,44,22,22,0,0,14,71,50,38,105,99,0,0,-
17,8477504,Josh Morrissey,WPG,D,https://assets.nhle.com/mugs/nhl/20232024/WPG/8477504.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,joshmorrissey,81,1958.9,10,59,28,31,69,52.27,196,5.10,11.9,447,292,134,19,4,23,44,22,22,0,0,22,42,45,81,90,103,0,0,-
18,8476892,Colton Parayko,STL,D,https://assets.nhle.com/mugs/nhl/20232024/STL/8476892.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,coltonparayko,82,1956.5833333333,10,16,8,8,26,31.33,154,6.49,6.86,309,211,76,13,9,16,23,10,9,1,0,7,48,73,107,112,218,0,0,-
19,8478397,Rasmus Andersson,CGY,D,https://assets.nhle.com/mugs/nhl/20232024/CGY/8478397.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,rasmusandersson,78,1858.45,9,30,14,16,39,40.21,159,5.66,9.33,340,238,82,20,10,33,47,18,16,1,1,15,60,31,36,83,186,0,0,-
20,8477948,Travis Sanheim,PHI,D,https://assets.nhle.com/mugs/nhl/20232024/PHI/8477948.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,travissanheim,81,1928.3833333333,10,34,17,17,44,50.00,146,6.85,9.38,320,214,123,38,8,25,48,24,24,0,0,17,47,37,83,158,149,0,0,-
21,8476853,Morgan Rielly,TOR,D,https://assets.nhle.com/mugs/nhl/20232024/TOR/8476853.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,morganrielly,72,1709.3666666667,7,51,29,22,58,46.03,174,4.02,9.11,361,243,112,32,15,33,27,8,6,1,1,6,61,27,78,134,137,0,0,-
22,8478396,Noah Hanifin,VGK,D,https://assets.nhle.com/mugs/nhl/20232024/VGK/8478396.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,noahhanifin,80,1889.1166666667,13,34,19,15,47,41.96,164,7.93,11.43,413,268,108,19,11,36,24,12,12,0,0,7,67,59,53,89,121,0,0,-
23,8474565,Alex Pietrangelo,VGK,D,https://assets.nhle.com/mugs/nhl/20232024/VGK/8474565.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,alexpietrangelo,64,1508.2,4,29,16,13,33,35.87,141,2.84,7.06,317,206,74,16,7,24,24,8,7,0,1,10,40,50,41,106,160,0,0,-
24,8477986,Brandon Montour,FLA,D,https://assets.nhle.com/mugs/nhl/20232024/FLA/8477986.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,brandonmontour,66,1547.5166666667,8,25,6,19,33,34.74,168,4.76,10.47,413,247,123,28,6,30,46,15,13,0,2,9,40,18,92,83,67,0,0,-
