,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Marc-Andre Fleury,MIN,G,39,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,PIT,1,1,1
1,Jonathan Quick,NYR,G,38,1986-01-21,Milford,CT,USA,USA,73,220,2005,L.A,3,11,72
2,James Reimer,DET,G,35,1988-03-15,Morweena,MB,CAN,CAN,75,205,2006,TOR,4,6,99
3,Semyon Varlamov,NYI,G,35,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
4,Jacob Markstrom,CGY,G,34,1990-01-31,Gävle,,SWE,SWE,78,207,2008,FLA,2,1,31
5,Jake Allen,MTL,G,33,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,STL,2,4,34
6,Michael Hutchinson,DET,G,33,1990-03-02,Barrie,ON,CAN,CAN,75,201,2008,BOS,3,16,77
7,Martin Jones,TOR,G,34,1990-01-10,North Vancouver,BC,CAN,CAN,76,203,-,-,-,-,-
8,Darcy Kuemper,WSH,G,33,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,MIN,6,10,161
9,Cam Talbot,L.A,G,36,1987-07-05,Caledonia,ON,CAN,CAN,76,201,-,-,-,-,-
10,Sergei Bobrovsky,FLA,G,35,1988-09-20,Novokuznetsk,,RUS,RUS,74,182,-,-,-,-,-
11,Calvin Pickard,EDM,G,31,1992-04-15,Moncton,NB,CAN,CAN,73,210,2010,COL,2,19,49
12,Jack Campbell,EDM,G,32,1992-01-09,Port Huron,MI,USA,USA,75,207,2010,DAL,1,11,11
13,Scott Wedgewood,DAL,G,31,1992-08-14,Brampton,ON,CAN,CAN,74,205,2010,N.J,3,24,84
14,Philipp Grubauer,SEA,G,32,1991-11-25,Rosenheim,,DEU,DEU,73,188,2010,WSH,4,22,112
15,Louis Domingue,NYR,G,31,1992-03-06,St-Hyacinthe,QC,CAN,CAN,75,208,2010,PHX,5,18,138
16,Petr Mrazek,CHI,G,32,1992-02-14,Ostrava,,CZE,CZE,74,188,2010,DET,5,21,141
17,Frederik Andersen,CAR,G,34,1989-10-02,Herning,,DNK,DNK,76,238,2012,ANA,3,26,87
18,Laurent Brossoit,WPG,G,30,1993-03-23,Port Alberni,BC,CAN,CAN,75,215,2011,CGY,6,13,164
19,Anton Forsberg,OTT,G,31,1992-11-27,Härnösand,,SWE,SWE,75,193,2011,CBJ,7,7,188
20,Jordan Binnington,STL,G,30,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,STL,3,27,88
21,Magnus Hellberg,PIT,G,32,1991-04-04,Uppsala,,SWE,SWE,78,220,2011,NSH,2,8,38
22,John Gibson,ANA,G,30,1993-07-14,Pittsburgh,PA,USA,USA,74,210,2011,ANA,2,9,39
23,Andrei Vasilevskiy,T.B,G,29,1994-07-25,Tyumen,,RUS,RUS,76,220,2012,T.B,1,19,19
24,Chris Driedger,SEA,G,29,1994-05-18,Winnipeg,MB,CAN,CAN,76,208,2012,OTT,3,15,76
25,Joonas Korpisalo,OTT,G,29,1994-04-28,Pori,,FIN,FIN,75,193,2012,CBJ,3,1,62
26,Anthony Stolarz,FLA,G,30,1994-01-20,Edison,NJ,USA,USA,78,243,2012,PHI,2,15,45
27,Connor Hellebuyck,WPG,G,30,1993-05-19,Commerce,MI,USA,USA,76,216,2012,WPG,5,9,130
28,Linus Ullmark,BOS,G,30,1993-07-31,Lugnvik,,SWE,SWE,77,212,2012,BUF,6,12,163
29,Matt Tomkins,T.B,G,29,1994-06-19,Edmonton,AB,CAN,CAN,75,194,2012,CHI,7,18,199
30,Antti Raanta,CAR,G,34,1989-05-12,Rauma,,FIN,FIN,72,195,-,-,-,-,-
31,Cal Petersen,PHI,G,29,1994-10-19,Waterloo,IA,USA,USA,74,185,2013,BUF,5,8,129
32,Juuse Saros,NSH,G,28,1995-04-19,Forssa,,FIN,FIN,71,180,2013,NSH,4,8,99
33,Tristan Jarry,PIT,G,28,1995-04-29,Surrey,BC,CAN,CAN,74,194,2013,PIT,2,14,44
34,Eric Comrie,BUF,G,28,1995-07-06,Edmonton,AB,CAN,CAN,73,183,2013,WPG,2,29,59
35,Spencer Martin,"CAR, CBJ",G,28,1995-06-08,Oakville,ON,CAN,CAN,75,191,2013,COL,3,2,63
36,Pheonix Copley,L.A,G,32,1992-01-18,North Pole,AK,USA,USA,76,200,-,-,-,-,-
37,Thatcher Demko,VAN,G,28,1995-12-08,San Diego,CA,USA,USA,76,192,2014,VAN,2,6,36
38,Alex Nedeljkovic,PIT,G,28,1996-01-07,Parma,OH,USA,USA,72,208,2014,CAR,2,7,37
39,Vitek Vanecek,N.J,G,28,1996-01-09,Havlickuv Brod,,CZE,CZE,74,184,2014,WSH,2,9,39
