,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,8470137,Joni Pitkanen,CAR,D,https://assets.nhle.com/mugs/nhl/20092010/CAR/8470137.png,https://assets.nhle.com/logos/nhl/svg/CAR_19992000-20122013_light.svg,jonipitkanen,40,1983-09-19,Oulu,,FIN,FIN,75,220,2002,PHI,1,4,4
1,8470281,Duncan Keith,CHI,D,https://assets.nhle.com/mugs/nhl/20092010/CHI/8470281.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,duncankeith,40,1983-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,CHI,2,24,54
2,8458517,Scott Niedermayer,ANA,D,https://assets.nhle.com/mugs/nhl/20092010/ANA/8458517.png,https://assets.nhle.com/logos/nhl/svg/ANA_20062007-20122013_light.svg,scottniedermayer,50,1973-08-31,Edmonton,AB,CAN,CAN,73,194,1991,N.J,1,3,3
3,8467096,Dan Boyle,SJS,D,https://assets.nhle.com/mugs/nhl/20092010/SJS/8467096.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,danboyle,47,1976-07-12,Ottawa,ON,CAN,CAN,71,194,-,-,-,-,-
4,8459424,Chris Pronger,PHI,D,https://assets.nhle.com/mugs/nhl/20092010/PHI/8459424.png,https://assets.nhle.com/logos/nhl/svg/PHI_19992000-20222023_light.svg,chrispronger,49,1974-10-10,Dryden,ON,CAN,CAN,78,188,1993,HFD,1,2,2
5,8470151,Jay Bouwmeester,CGY,D,https://assets.nhle.com/mugs/nhl/20092010/CGY/8470151.png,https://assets.nhle.com/logos/nhl/svg/CGY_19941995-20192020_light.svg,jaybouwmeester,40,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,FLA,1,3,3
6,8473571,Jamie McBain,CAR,D,https://assets.nhle.com/mugs/nhl/20092010/CAR/8473571.png,https://assets.nhle.com/logos/nhl/svg/CAR_19992000-20122013_light.svg,jamiemcbain,35,1988-02-25,Edina,MN,USA,USA,73,195,2006,CAR,2,33,63
7,8468309,Mark Streit,NYI,D,https://assets.nhle.com/mugs/nhl/20092010/NYI/8468309.png,https://assets.nhle.com/logos/nhl/svg/NYI_19971998-20092010_light.svg,markstreit,46,1977-12-11,Bern,,CHE,CHE,71,186,2004,MTL,9,4,262
8,8471242,Mike Green,WSH,D,https://assets.nhle.com/mugs/nhl/20092010/WSH/8471242.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,michaelgreen,38,1985-10-12,Calgary,AB,CAN,CAN,73,210,2004,WSH,1,29,29
9,8467400,Francois Beauchemin,TOR,D,https://assets.nhle.com/mugs/nhl/20092010/TOR/8467400.png,https://assets.nhle.com/logos/nhl/svg/TOR_19871988-20152016_light.svg,francoisbeauchemin,43,1980-06-04,Sorel,QC,CAN,CAN,71,208,1998,MTL,3,17,75
10,8457063,Nicklas Lidstrom,DET,D,https://assets.nhle.com/mugs/nhl/20092010/DET/8457063.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,nicklaslidstrom,53,1970-04-28,Vasteras,,SWE,SWE,73,192,1989,DET,3,11,53
11,8465009,Zdeno Chara,BOS,D,https://assets.nhle.com/mugs/nhl/20092010/BOS/8465009.png,https://assets.nhle.com/logos/nhl/svg/BOS_20082009-20222023_light.svg,zdenochara,46,1977-03-18,Trencin,,SVK,SVK,81,250,1996,NYI,3,4,56
12,8474563,Drew Doughty,LAK,D,https://assets.nhle.com/mugs/nhl/20092010/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_20022003-20092010_light.svg,drewdoughty,34,1989-12-08,London,ON,CAN,CAN,73,210,2008,L.A,1,2,2
13,8470309,Ryan Whitney,EDM,D,https://assets.nhle.com/mugs/nhl/20092010/EDM/8470309.png,https://assets.nhle.com/logos/nhl/svg/EDM_19971998-20102011_light.svg,ryanwhitney,40,1983-02-19,Boston,MA,USA,USA,76,209,2002,PIT,1,5,5
14,8462196,Stephane Robidas,DAL,D,https://assets.nhle.com/mugs/nhl/20092010/DAL/8462196.png,https://assets.nhle.com/logos/nhl/svg/DAL_19941995-20122013_light.svg,stephanerobidas,46,1977-03-03,Sherbrooke,QC,CAN,CAN,71,190,1995,MTL,7,8,164
