,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Jaromir Jagr,"FLA, N.J",R,51,1972-02-15,Kladno,,CZE,CZE,75,230,1990,PIT,1,5,5
1,Sergei Gonchar,"DAL, MTL",D,49,1974-04-13,Chelyabinsk,,RUS,RUS,74,210,1992,WSH,1,14,14
2,Kimmo Timonen,CHI,D,48,1975-03-18,Kuopio,,FIN,FIN,70,194,1993,L.A,10,16,250
3,Patrik Elias,N.J,C,47,1976-04-13,Trebic,,CZE,CZE,73,190,1994,N.J,2,25,51
4,Bryce Salvador,N.J,D,47,1976-02-11,Brandon,MB,CAN,CAN,75,215,1994,T.B,6,8,138
5,Eric Boulton,NYI,L,47,1976-08-17,Halifax,NS,CAN,CAN,72,227,1994,NYR,9,26,234
6,Shane Doan,ARI,R,47,1976-10-10,Halkirk,AB,CAN,CAN,73,223,1995,WIN,1,7,7
7,Jarome Iginla,COL,R,46,1977-07-01,Edmonton,AB,CAN,CAN,73,210,1995,DAL,1,11,11
8,Stephane Robidas,TOR,D,46,1977-03-03,Sherbrooke,QC,CAN,CAN,71,190,1995,MTL,7,8,164
9,Chris Phillips,OTT,D,45,1978-03-09,Calgary,AB,CAN,CAN,75,219,1996,OTT,1,1,1
10,Daniel Briere,COL,C,46,1977-10-06,Gatineau,QC,CAN,CAN,69,174,1996,PHX,1,24,24
11,Dainius Zubrus,N.J,C,45,1978-06-16,Elektrenai,,LTU,LTU,77,225,1996,PHI,1,15,15
12,Matt Cullen,NSH,C,47,1976-11-02,Virginia,MN,USA,USA,73,202,1996,ANA,2,9,35
13,Zdeno Chara,BOS,D,46,1977-03-18,Trencin,,SVK,SVK,81,250,1996,NYI,3,4,56
14,Michal Rozsival,CHI,D,45,1978-09-03,Vlasim,,CZE,CZE,73,210,1996,PIT,4,25,105
15,Craig Adams,PIT,R,46,1977-04-26,Seria,,BRN,CAN,72,200,1996,HFD,9,8,223
16,Willie Mitchell,FLA,D,46,1977-04-23,Port McNeill,BC,CAN,CAN,75,210,1996,N.J,8,10,199
17,Matt Cooke,MIN,L,45,1978-09-07,Belleville,ON,CAN,CAN,71,216,1997,VAN,6,10,144
