,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points,TOI
1,8478483,Mitch Marner,R,TOR,27,98.0,101.0,0.0,101.0,31.0
2,8478402,Connor McDavid,C,EDM,27,97.0,85.0,0.0,85.0,41.0
3,8477934,Leon Draisaitl,C,EDM,29,95.0,77.0,0.0,77.0,45.0
4,8476853,Morgan Rielly,D,TOR,30,88.0,67.0,0.0,67.0,15.0
5,8477939,William Nylander,R,TOR,28,96.0,64.0,0.0,64.0,54.0
6,8479318,Auston Matthews,C,TOR,27,97.0,64.0,0.0,64.0,86.0
7,8477503,Max Domi,C,TOR,29,97.0,61.0,0.0,61.0,19.0
8,8480803,Evan Bouchard,D,EDM,25,98.0,51.0,0.0,51.0,13.0
9,8476454,Ryan Nugent-Hopkins,C,EDM,31,95.0,49.0,0.0,49.0,26.0
10,8475166,John Tavares,C,TOR,34,96.0,37.0,0.0,37.0,37.0
11,8475218,Mattias Ekholm,D,EDM,34,95.0,33.0,0.0,33.0,12.0
12,8475784,Jeff Skinner,C,EDM,32,92.0,32.0,0.0,32.0,24.0
13,8475786,Zach Hyman,L,EDM,32,93.0,32.0,0.0,32.0,42.0
14,8478042,Viktor Arvidsson,L,EDM,31,94.0,32.0,0.0,32.0,22.0
15,8475171,Oliver Ekman-Larsson,D,TOR,33,81.0,31.0,0.0,31.0,9.0
16,8482720,Matthew Knies,L,TOR,22,93.0,30.0,0.0,30.0,19.0
17,8480043,Timothy Liljegren,D,TOR,25,83.0,27.0,0.0,27.0,5.0
18,8474641,Adam Henrique,C,EDM,34,86.0,26.0,0.0,26.0,19.0
19,8475714,Calle Jarnkrok,C,TOR,33,95.0,25.0,0.0,25.0,14.0
20,8475169,Evander Kane,L,EDM,33,88.0,24.0,0.0,24.0,29.0
21,8481582,Nicholas Robertson,L,TOR,23,85.0,24.0,0.0,24.0,17.0
22,8477498,Darnell Nurse,D,EDM,29,97.0,23.0,0.0,23.0,13.0
23,8480144,David Kampf,C,TOR,29,89.0,21.0,0.0,21.0,13.0
24,8476967,Brett Kulak,D,EDM,30,90.0,19.0,0.0,19.0,1.0
25,8470621,Corey Perry,R,EDM,39,87.0,17.0,0.0,17.0,15.0
26,8480980,Connor Dewar,C,TOR,25,86.0,17.0,0.0,17.0,27.0
27,8476931,Jake McCabe,D,TOR,31,77.0,14.0,0.0,14.0,5.0
28,8479442,Troy Stecher,D,EDM,30,79.0,14.0,0.0,14.0,2.0
29,8477015,Connor Brown,R,EDM,30,77.0,13.0,0.0,13.0,6.0
30,8479026,Philippe Myers,D,TOR,27,61.0,13.0,0.0,13.0,5.0
31,8475690,Chris Tanev,D,TOR,35,69.0,11.0,0.0,11.0,2.0
32,8477384,Joshua Brown,D,EDM,30,79.0,11.0,0.0,11.0,1.0
33,8479982,Conor Timmins,D,TOR,26,69.0,11.0,0.0,11.0,2.0
34,8480995,Pontus Holmberg,R,TOR,25,70.0,11.0,0.0,11.0,10.0
35,8482259,Bobby McMann,C,TOR,28,75.0,11.0,0.0,11.0,14.0
36,8482634,Alex Steeves,C,TOR,25,49.0,11.0,0.0,11.0,5.0
37,8477406,Mattias Janmark,C,EDM,32,78.0,10.0,0.0,10.0,7.0
38,8478585,Derek Ryan,C,EDM,38,73.0,6.0,0.0,6.0,6.0
39,8481122,Simon Benoit,D,TOR,26,54.0,5.0,0.0,5.0,1.0
