,Player,Position,Age,ATOI,Gper1kChunk
0,Drew Doughty,D,34,26.026203179932295,3.4172977967024862
1,Cale Makar,D,25,25.460722096188757,5.101868504581194
2,Rasmus Dahlin,D,23,25.31921758201647,4.607417144988872
3,Seth Jones,D,29,25.256524964871087,1.0760983812394578
4,John Carlson,D,33,25.16781910598527,2.061696813605769
5,Miro Heiskanen,D,24,25.14774908673511,2.741427924736832
6,Brock Faber,D,21,25.032347581845535,1.3223200578815077
7,Roman Josi,D,33,24.965853327829468,4.210251042660381
8,Quinn Hughes,D,24,24.920596419590314,3.697817536617291
9,Thomas Chabot,D,26,24.8088553760398,1.875763930393385
10,Kris Letang,D,36,24.774597131828187,1.9033636824347644
11,Cam Fowler,D,32,24.664632754728242,1.5787051125350413
12,Erik Karlsson,D,33,24.614366785286766,3.1024826418959193
13,Mike Matheson,D,29,24.59732520436139,2.67295132377704
14,Zach Werenski,D,26,24.47259588866872,1.5987842223512723
15,Devon Toews,D,29,24.393155282675526,3.0669920937795236
16,Victor Hedman,D,33,24.3900872878185,3.2088291709389685
17,Josh Morrissey,D,28,24.23340952971121,2.9144783900299682
18,Alex Pietrangelo,D,33,24.031807553276053,1.4687985691041636
19,Charlie McAvoy,D,26,23.944563289707286,3.0877917679043665
20,Rasmus Andersson,D,27,23.891999193616975,2.6401329970109444
21,Adam Fox,D,25,23.66818755537272,3.547091536867014
22,Noah Dobson,D,23,23.60130960126962,2.9929492540318536
23,Colton Parayko,D,30,23.536264427697756,2.8229048206015377
24,Morgan Rielly,D,29,23.531994999995675,2.6287383157035378
25,Hampus Lindholm,D,29,23.523941279154233,0.9310067104133357
26,Stanislav Svozil,D,20,23.445927691302682,0.3445366322994232
27,Jonas Brodin,D,30,23.377919451901153,1.6749025575317424
28,Vince Dunn,D,27,23.18578840429443,3.2115743035620508
29,Noah Hanifin,D,26,23.16763505430622,3.1552886324620877
30,Adam Larsson,D,31,23.15771395335888,1.3217922355573088
31,Brandon Montour,D,29,23.075795036670986,2.275884016092994
32,Mikhail Sergachev,D,25,23.06187645247051,1.6335648833787673
33,Filip Hronek,D,26,23.003956632013377,1.7636805583118504
34,Darnell Nurse,D,28,22.97724824593727,2.7875123541410125
35,Owen Power,D,21,22.968027336199267,1.214692294194106
36,Ivan Provorov,D,26,22.963147543227265,1.7885310566830641
37,Justin Faulk,D,31,22.81365387706398,1.5968074867360176
38,Jakob Chychrun,D,25,22.774088844411292,4.040337835370914
39,Mikko Rantanen,R,27,22.68716558640736,11.692988846429746
40,Travis Sanheim,D,27,22.678687121480802,1.8825702477006983
41,Moritz Seider,D,22,22.66679625190147,2.264003689649136
42,Brent Burns,D,38,22.666018167803944,3.2557436411473857
43,Nathan MacKinnon,C,28,22.647444963590292,12.288936330277991
44,Jake Sanderson,D,21,22.596546708988203,2.560093466011347
45,Gustav Forsling,D,27,22.52167006413506,3.1808331151994955
46,Shea Theodore,D,28,22.520832990734622,3.98840884599193
