,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
1,8478402,Connor McDavid,C,EDM,27,77.4,41.3,93.1,134.4
2,8476453,Nikita Kucherov,R,TBL,31,81.9,43.7,90.6,134.3
3,8479318,Auston Matthews,C,TOR,27,80.5,68.6,58.2,126.8
4,8477492,Nathan MacKinnon,C,COL,29,81.1,47.6,76.8,124.4
5,8477956,David Pastrnak,R,BOS,28,79.9,58.1,61.8,119.9
6,8477939,William Nylander,R,TOR,28,80.8,43.0,63.6,106.6
7,8477934,Leon Draisaitl,C,EDM,29,77.4,41.7,63.0,104.7
8,8478420,Mikko Rantanen,R,COL,28,80.7,44.3,59.2,103.5
9,8481559,Jack Hughes,C,NJD,23,74.4,39.7,62.5,102.2
10,8476468,J.T. Miller,C,VAN,31,76.9,35.1,66.4,101.5
11,8478550,Artemi Panarin,L,NYR,33,75.9,32.0,68.4,100.4
12,8479314,Matthew Tkachuk,L,FLA,27,78.0,28.8,67.9,96.7
13,8471675,Sidney Crosby,C,PIT,37,72.9,38.5,52.7,91.2
14,8482116,Tim Stützle,C,OTT,22,79.2,31.5,59.3,90.8
15,8476887,Filip Forsberg,L,NSH,30,74.1,40.3,47.6,87.9
16,8477942,Kevin Fiala,L,LAK,28,80.5,29.3,58.4,87.7
17,8477946,Dylan Larkin,C,DET,28,81.0,40.9,46.7,87.6
18,8480027,Jason Robertson,L,DAL,25,81.4,33.7,53.9,87.6
19,8478864,Kirill Kaprizov,L,MIN,27,71.0,37.7,49.2,86.9
20,8477493,Aleksander Barkov,C,FLA,29,76.9,26.3,60.5,86.8
21,8480800,Quinn Hughes,D,VAN,25,74.8,12.4,74.2,86.6
22,8480801,Brady Tkachuk,L,OTT,25,79.9,38.4,48.1,86.5
23,8477404,Jake Guentzel,C,TBL,30,81.8,35.6,49.5,85.1
24,8480069,Cale Makar,D,COL,26,71.6,22.7,61.8,84.5
25,8477933,Sam Reinhart,C,FLA,29,77.9,42.6,41.5,84.1
26,8480012,Elias Pettersson,C,VAN,26,75.0,34.5,48.8,83.3
27,8478445,Mathew Barzal,C,NYI,27,79.8,22.4,60.6,83.0
28,8478010,Brayden Point,C,TBL,28,81.8,41.3,40.9,82.2
29,8479407,Jesper Bratt,L,NJD,26,74.9,28.5,52.8,81.3
30,8480023,Robert Thomas,C,STL,25,74.0,22.5,57.9,80.4
31,8475913,Mark Stone,R,VGK,32,76.2,30.2,49.9,80.1
32,8475172,Nazem Kadri,C,CGY,34,78.5,31.4,48.3,79.7
33,8479343,Clayton Keller,R,UTA,26,76.3,33.9,45.3,79.2
34,8478403,Jack Eichel,C,VGK,28,77.6,35.6,43.5,79.1
35,8475166,John Tavares,C,TOR,34,81.2,33.5,45.5,79.0
36,8484144,Connor Bedard,C,CHI,19,69.2,28.4,50.2,78.6
37,8481557,Matt Boldy,L,MIN,23,70.6,32.1,45.5,77.6
38,8476459,Mika Zibanejad,C,NYR,31,76.7,29.8,47.6,77.4
39,8474564,Steven Stamkos,C,NSH,34,71.4,32.7,44.2,76.9
40,8477501,Valeri Nichushkin,R,COL,29,80.3,38.8,37.4,76.2
41,8479323,Adam Fox,D,NYR,26,73.6,14.3,61.4,75.7
42,8478439,Travis Konecny,R,PHI,27,77.6,31.2,44.4,75.6
43,8480002,Nico Hischier,C,NJD,25,76.3,28.6,47.0,75.6
44,8478398,Kyle Connor,L,WPG,28,73.8,35.6,39.8,75.4
45,8477409,Carter Verhaeghe,C,FLA,29,77.2,37.6,37.7,75.3
46,8477960,Adrian Kempe,R,LAK,28,79.9,34.4,38.4,72.8
47,8479385,Jordan Kyrou,C,STL,26,73.4,32.2,40.6,72.8
48,8479420,Tage Thompson,C,BUF,27,73.7,38.3,34.1,72.4
49,8478449,Roope Hintz,C,DAL,28,80.9,34.1,38.0,72.1
50,8476389,Vincent Trocheck,C,NYR,31,75.9,27.5,44.5,72.0
51,8475184,Chris Kreider,L,NYR,33,75.0,41.6,30.3,71.9
52,8474600,Roman Josi,D,NSH,34,72.7,17.3,54.6,71.9
53,8482740,Wyatt Johnston,C,DAL,21,80.9,35.8,35.7,71.5
54,8473419,Brad Marchand,L,BOS,36,78.4,25.9,45.4,71.3
55,8479337,Alex DeBrincat,R,DET,27,80.7,28.9,42.1,71.0
56,8476456,Jonathan Huberdeau,C,CGY,31,78.1,17.6,52.5,70.1
57,8480830,Andrei Svechnikov,R,CAR,24,69.7,29.3,39.8,69.1
58,8476454,Ryan Nugent-Hopkins,C,EDM,31,76.9,22.6,46.3,68.9
59,8480036,Miro Heiskanen,D,DAL,25,80.9,13.4,55.4,68.8
60,8476460,Mark Scheifele,C,WPG,31,71.8,27.3,41.3,68.6
61,8480208,Drake Batherson,R,OTT,26,79.1,26.0,42.0,68.0
62,8478427,Sebastian Aho,C,CAR,27,71.0,30.3,37.6,67.9
63,8476346,Johnny Gaudreau,L,CBJ,31,71.4,16.6,51.3,67.9
64,8475168,Matt Duchene,C,DAL,33,81.4,26.5,41.3,67.8
65,8480839,Rasmus Dahlin,D,BUF,24,71.7,20.1,47.4,67.5
66,8471685,Anze Kopitar,C,LAK,37,80.4,23.4,43.9,67.3
67,8474141,Patrick Kane,R,DET,36,80.0,23.1,43.9,67.0
68,8471214,Alex Ovechkin,L,WSH,39,72.2,32.5,34.2,66.7
69,8479542,Brandon Hagel,L,TBL,26,81.4,29.9,36.8,66.7
70,8477500,Bo Horvat,C,NYI,29,78.7,36.7,29.7,66.4
71,8474578,Erik Karlsson,D,PIT,34,79.1,15.7,50.7,66.4
72,8478444,Brock Boeser,R,VAN,27,73.0,32.5,33.7,66.2
73,8477496,Elias Lindholm,C,BOS,30,78.1,26.5,39.6,66.1
74,8477951,Nick Schmaltz,C,UTA,28,75.6,25.4,40.4,65.8
75,8475692,Mats Zuccarello,R,MIN,37,69.9,17.6,47.9,65.5
76,8475810,Bryan Rust,R,PIT,32,71.4,32.6,32.8,65.4
77,8477949,Alex Tuch,R,BUF,28,71.3,23.5,41.9,65.4
78,8478414,Timo Meier,R,NJD,28,74.5,31.3,33.7,65.0
79,8475786,Zach Hyman,L,EDM,32,76.7,33.5,31.2,64.7
80,8475754,Brock Nelson,C,NYI,33,78.4,33.3,31.4,64.7
81,8477402,Pavel Buchnevich,L,STL,29,73.0,26.0,38.5,64.5
82,8476881,Tomas Hertl,C,VGK,31,77.4,28.7,34.9,63.6
83,8478460,Zach Werenski,D,CBJ,27,79.1,15.1,48.5,63.6
84,8480865,Noah Dobson,D,NYI,24,79.1,10.9,52.5,63.4
85,8476539,Jonathan Marchessault,R,NSH,34,72.5,32.3,30.9,63.2
86,8480803,Evan Bouchard,D,EDM,25,75.5,13.6,49.4,63.0
87,8477940,Nikolaj Ehlers,L,WPG,28,71.0,24.5,38.0,62.5
88,8471215,Evgeni Malkin,C,PIT,38,72.0,24.2,38.1,62.3
89,8476853,Morgan Rielly,D,TOR,30,70.6,9.4,52.8,62.2
90,8478493,Joel Eriksson Ek,C,MIN,27,70.1,29.5,32.3,61.8
91,8475158,Ryan O'Reilly,C,NSH,33,73.8,24.9,36.7,61.6
92,8482078,Lucas Raymond,L,DET,22,79.8,23.9,37.5,61.4
93,8477504,Josh Morrissey,D,WPG,29,74.7,12.2,49.2,61.4
94,8475167,Victor Hedman,D,TBL,34,78.5,12.4,48.8,61.2
95,8480018,Nick Suzuki,C,MTL,25,76.5,20.6,40.5,61.1
96,8475765,Vladimir Tarasenko,R,DET,33,80.6,24.9,35.3,60.2
97,8473512,Claude Giroux,R,OTT,36,78.4,20.6,39.5,60.1
98,8482093,Seth Jarvis,C,CAR,22,70.6,26.6,32.7,59.3
99,8478873,Troy Terry,R,ANA,27,73.6,23.8,35.5,59.3
100,8479675,Trevor Moore,L,LAK,29,79.4,27.9,31.2,59.1
101,8482699,Dylan Guenther,R,UTA,21,74.2,25.8,33.2,59.0
102,8476448,William Karlsson,C,VGK,31,75.2,23.2,35.6,58.8
103,8477955,Jared McCann,L,SEA,28,73.1,29.6,29.0,58.6
104,8478440,Dylan Strome,C,WSH,27,72.9,21.5,37.1,58.6
105,8481540,Cole Caufield,R,MTL,23,75.4,30.5,27.6,58.1
106,8478047,Michael Bunting,L,PIT,29,72.2,23.9,33.6,57.5
107,8481068,Yegor Sharangovich,C,CGY,26,77.0,29.5,27.8,57.3
108,8479999,Casey Mittelstadt,C,COL,26,80.7,17.8,39.2,57.0
109,8475784,Jeff Skinner,C,EDM,32,76.3,24.4,32.5,56.9
110,8474102,David Perron,L,OTT,36,78.3,22.3,34.6,56.9
111,8478401,Pavel Zacha,C,BOS,27,78.2,22.4,34.4,56.8
112,8483515,Juraj Slafkovsky,L,MTL,20,76.0,21.6,34.7,56.3
113,8475170,Brayden Schenn,C,STL,33,73.4,23.5,32.6,56.1
114,8474679,Gustav Nyquist,C,NSH,35,72.5,17.8,38.2,56.0
115,8479425,Filip Hronek,D,VAN,27,73.6,12.2,43.6,55.8
116,8478975,Mason Marchment,L,DAL,29,81.0,22.1,33.3,55.4
117,8482684,Luke Hughes,D,NJD,21,71.0,10.9,44.4,55.3
118,8482745,Mason McTavish,C,ANA,21,69.8,20.8,34.0,54.8
119,8475794,Tyler Seguin,C,DAL,32,80.9,25.4,29.0,54.4
120,8473994,Jamie Benn,L,DAL,35,81.0,21.0,33.4,54.4
121,8476905,Chandler Stephenson,C,SEA,30,73.9,16.1,38.3,54.4
122,8482109,Alexis Lafrenière,L,NYR,23,73.1,26.3,28.0,54.3
123,8475745,Charlie Coyle,C,BOS,32,77.2,19.5,34.7,54.2
124,8483431,Logan Cooley,C,UTA,20,73.8,22.3,31.6,53.9
125,8475798,Mikael Granlund,C,SJS,32,69.3,13.7,40.2,53.9
126,8479325,Charlie McAvoy,D,BOS,27,72.9,11.3,42.4,53.7
127,8477416,Oliver Bjorkstrand,R,SEA,29,73.1,24.2,29.4,53.6
128,8471724,Kris Letang,D,PIT,37,79.0,12.5,41.1,53.6
129,8481528,Dylan Cozens,C,BUF,23,72.2,21.2,32.3,53.5
130,8482665,Matty Beniers,C,SEA,22,71.2,22.0,31.4,53.4
131,8474586,Jordan Eberle,R,SEA,34,74.2,22.2,31.1,53.3
132,8480015,Owen Tippett,R,PHI,25,75.6,26.9,26.0,52.9
133,8480039,Martin Necas,C,CAR,25,69.2,22.4,30.5,52.9
134,8482113,Anton Lundell,C,FLA,23,75.0,21.0,31.7,52.7
135,8477476,Artturi Lehkonen,L,COL,29,80.0,24.4,28.0,52.4
136,8477494,Jonathan Drouin,L,COL,29,80.0,18.0,34.3,52.3
137,8474150,Mikael Backlund,C,CGY,35,77.6,19.4,32.8,52.2
138,8484166,Adam Fantilli,C,CBJ,20,70.3,21.3,30.8,52.1
139,8477503,Max Domi,C,TOR,29,80.4,14.1,38.0,52.1
140,8477935,Sam Bennett,C,FLA,28,74.6,25.3,26.2,51.5
141,8475726,Tyler Toffoli,C,SJS,32,69.2,25.7,25.7,51.4
142,8477447,Shea Theodore,D,VGK,29,61.4,10.0,41.2,51.2
143,8482159,Tyson Foerster,R,PHI,22,75.5,24.2,26.9,51.1
144,8476479,Phillip Danault,C,LAK,31,79.3,17.7,33.4,51.1
145,8478407,Vince Dunn,D,SEA,28,72.8,11.8,39.2,51.0
146,8478519,Anthony Cirelli,C,TBL,27,81.2,21.3,29.0,50.3
147,8476875,Mike Matheson,D,MTL,30,73.1,11.8,38.5,50.3
148,8478498,Jake DeBrusk,L,VAN,28,72.4,24.1,26.1,50.2
149,8474590,John Carlson,D,WSH,34,67.8,8.8,41.4,50.2
150,8476399,Blake Coleman,C,CGY,33,74.9,26.4,23.4,49.8
151,8478469,Thomas Chabot,D,OTT,27,74.7,12.9,36.6,49.5
152,8484153,Leo Carlsson,C,ANA,20,72.1,19.7,29.4,49.1
153,8482124,Quinton Byfield,R,LAK,22,79.8,17.5,31.2,48.7
154,8476792,Torey Krug,D,STL,33,73.1,14.0,34.7,48.7
155,8478856,Conor Garland,R,VAN,28,73.3,19.0,29.6,48.6
156,8475191,Reilly Smith,R,NYR,33,73.2,20.1,28.4,48.5
157,8476432,Boone Jenner,C,CBJ,31,67.0,27.6,20.5,48.1
158,8477456,J.T. Compher,L,DET,29,79.7,19.3,28.8,48.1
159,8479400,Pierre-Luc Dubois,L,WSH,26,70.7,19.6,28.0,47.6
