Simulation,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
1,8479318,Auston Matthews,C,TOR,27,82,72,54,126
1,8478402,Connor McDavid,C,EDM,27,82,31,89,120
1,8476453,Nikita Kucherov,R,TBL,31,82,40,74,114
1,8480800,Quinn Hughes,D,VAN,25,82,27,79,106
1,8480012,Elias Pettersson,C,VAN,26,82,41,64,105
1,8477956,David Pastrnak,R,BOS,28,82,49,55,104
1,8481559,Jack Hughes,C,NJD,23,82,35,64,99
1,8475786,Zach Hyman,L,EDM,32,82,59,38,97
1,8477934,Leon Draisaitl,C,EDM,29,82,23,73,96
1,8478864,Kirill Kaprizov,L,MIN,27,82,48,47,95
1,8476887,Filip Forsberg,L,NSH,30,82,44,51,95
1,8478010,Brayden Point,C,TBL,28,82,48,45,93
1,8476468,J.T. Miller,C,VAN,31,82,36,57,93
1,8478550,Artemi Panarin,L,NYR,33,82,38,54,92
1,8477493,Aleksander Barkov,C,FLA,29,82,26,65,91
1,8478427,Sebastian Aho,C,CAR,27,82,40,49,89
1,8479314,Matthew Tkachuk,L,FLA,27,82,34,55,89
1,8477404,Jake Guentzel,C,CAR,30,82,41,47,88
1,8477492,Nathan MacKinnon,C,COL,29,82,39,49,88
1,8480002,Nico Hischier,C,NJD,25,82,34,53,87
1,8474600,Roman Josi,D,NSH,34,82,24,63,87
1,8475692,Mats Zuccarello,R,MIN,37,82,19,68,87
1,8477942,Kevin Fiala,L,LAK,28,82,36,50,86
1,8476454,Ryan Nugent-Hopkins,C,EDM,31,82,28,58,86
1,8478420,Mikko Rantanen,R,COL,28,82,38,47,85
1,8477933,Sam Reinhart,C,FLA,29,82,47,35,82
1,8473512,Claude Giroux,R,OTT,36,82,26,56,82
1,8482116,Tim Stützle,C,OTT,22,82,36,45,81
1,8481557,Matt Boldy,L,MIN,23,82,35,46,81
1,8481523,Kirby Dach,C,MTL,23,82,15,66,81
1,8480023,Robert Thomas,C,STL,25,82,28,52,80
1,8479407,Jesper Bratt,L,NJD,26,82,26,53,79
1,8475167,Victor Hedman,D,TBL,34,82,16,63,79
1,8478398,Kyle Connor,L,WPG,28,82,37,41,78
1,8479343,Clayton Keller,R,ARI,26,82,33,45,78
1,8475166,John Tavares,C,TOR,34,82,32,46,78
1,8477939,William Nylander,R,TOR,28,82,26,52,78
1,8476346,Johnny Gaudreau,L,CBJ,31,82,20,58,78
1,8480027,Jason Robertson,L,DAL,25,82,31,46,77
1,8476853,Morgan Rielly,D,TOR,30,82,10,66,76
1,8477501,Valeri Nichushkin,R,COL,29,82,36,39,75
1,8478445,Mathew Barzal,C,NYI,27,82,23,52,75
1,8477946,Dylan Larkin,C,DET,28,82,38,36,74
1,8471214,Alex Ovechkin,L,WSH,39,82,38,35,73
1,8478403,Jack Eichel,C,VGK,28,82,30,43,73
1,8473419,Brad Marchand,L,BOS,36,82,27,46,73
1,8477955,Jared McCann,L,SEA,28,82,38,34,72
1,8480014,Gabriel Vilardi,C,WPG,25,82,38,34,72
1,8477409,Carter Verhaeghe,C,FLA,29,82,33,39,72
1,8476456,Jonathan Huberdeau,C,CGY,31,82,26,46,72
1,8471675,Sidney Crosby,C,PIT,37,82,36,35,71
1,8480801,Brady Tkachuk,L,OTT,25,82,35,36,71
1,8477951,Nick Schmaltz,C,ARI,28,82,30,41,71
1,8477416,Oliver Bjorkstrand,R,SEA,29,82,31,39,70
1,8480803,Evan Bouchard,D,EDM,25,82,18,52,70
1,8480865,Noah Dobson,D,NYI,24,82,13,57,70
1,8478042,Viktor Arvidsson,R,LAK,31,82,32,37,69
1,8475158,Ryan O'Reilly,C,NSH,33,82,26,43,69
1,8480208,Drake Batherson,R,OTT,26,82,26,43,69
1,8476460,Mark Scheifele,C,WPG,31,82,21,48,69
1,8477500,Bo Horvat,C,NYI,29,82,33,35,68
1,8474564,Steven Stamkos,C,TBL,34,82,31,37,68
1,8480188,Fabian Zetterlund,L,SJS,25,82,31,37,68
1,8480018,Nick Suzuki,C,MTL,25,82,29,39,68
1,8471215,Evgeni Malkin,C,PIT,38,82,27,41,68
1,8480069,Cale Makar,D,COL,26,82,18,50,68
1,8475913,Mark Stone,R,VGK,32,82,31,36,67
1,8479420,Tage Thompson,C,BUF,27,82,31,36,67
1,8478439,Travis Konecny,R,PHI,27,82,28,39,67
1,8475172,Nazem Kadri,C,CGY,34,82,28,39,67
1,8478440,Dylan Strome,C,WSH,27,82,22,45,67
1,8477949,Alex Tuch,R,BUF,28,82,21,46,67
1,8478414,Timo Meier,R,NJD,28,82,38,28,66
1,8476462,Dougie Hamilton,D,NJD,31,82,22,44,66
1,8482124,Quinton Byfield,R,LAK,22,82,20,46,66
1,8476459,Mika Zibanejad,C,NYR,31,82,32,33,65
1,8477479,Tyler Bertuzzi,L,TOR,29,82,32,33,65
1,8475765,Vladimir Tarasenko,R,FLA,33,82,29,36,65
1,8479385,Jordan Kyrou,C,STL,26,82,27,38,65
1,8480028,Morgan Frost,C,PHI,25,82,24,40,64
1,8482093,Seth Jarvis,C,CAR,22,82,22,42,64
1,8476539,Jonathan Marchessault,R,VGK,34,82,30,33,63
1,8479542,Brandon Hagel,L,TBL,26,82,22,41,63
1,8474590,John Carlson,D,WSH,34,82,11,52,63
1,8477447,Shea Theodore,D,VGK,29,82,9,54,63
1,8477940,Nikolaj Ehlers,L,WPG,28,82,26,36,62
1,8477402,Pavel Buchnevich,L,STL,29,82,25,37,62
1,8482078,Lucas Raymond,L,DET,22,82,24,38,62
1,8481533,Trevor Zegras,C,ANA,23,82,21,41,62
1,8480830,Andrei Svechnikov,R,CAR,24,82,19,43,62
1,8475169,Evander Kane,L,EDM,33,82,32,29,61
1,8478047,Michael Bunting,L,PIT,29,82,29,32,61
1,8475168,Matt Duchene,C,DAL,33,82,27,34,61
1,8475784,Jeff Skinner,C,BUF,32,82,27,34,61
1,8479337,Alex DeBrincat,R,DET,27,82,25,36,61
1,8475184,Chris Kreider,L,NYR,33,82,35,25,60
1,8478444,Brock Boeser,R,VAN,27,82,29,31,60
1,8474679,Gustav Nyquist,C,NSH,35,82,23,37,60
1,8479323,Adam Fox,D,NYR,26,82,15,45,60
1,8474578,Erik Karlsson,D,PIT,34,82,14,46,60
1,8479410,Mikhail Sergachev,D,TBL,26,82,9,51,60
1,8476389,Vincent Trocheck,C,NYR,31,82,34,25,59
1,8476905,Chandler Stephenson,C,VGK,30,82,21,38,59
1,8478460,Zach Werenski,D,CBJ,27,82,16,43,59
1,8482684,Luke Hughes,D,NJD,21,82,16,43,59
1,8477504,Josh Morrissey,D,WPG,29,82,10,49,59
1,8474641,Adam Henrique,C,EDM,34,82,26,32,58
1,8474102,David Perron,L,DET,36,82,26,32,58
1,8477476,Artturi Lehkonen,L,COL,29,82,25,33,58
1,8474157,Max Pacioretty,L,WSH,36,82,25,33,58
1,8482665,Matty Beniers,C,SEA,22,82,23,35,58
1,8481540,Cole Caufield,R,MTL,23,82,40,17,57
1,8475754,Brock Nelson,C,NYI,33,82,29,28,57
1,8477960,Adrian Kempe,R,LAK,28,82,26,31,57
1,8479675,Trevor Moore,L,LAK,29,82,26,31,57
1,8482745,Mason McTavish,C,ANA,21,82,24,33,57
1,8475810,Bryan Rust,R,PIT,32,82,20,37,57
1,8471685,Anze Kopitar,C,LAK,37,82,18,39,57
1,8476458,Ryan Strome,C,ANA,31,82,15,42,57
1,8478407,Vince Dunn,D,SEA,28,82,10,47,57
1,8474141,Patrick Kane,R,DET,36,82,26,30,56
1,8476881,Tomas Hertl,C,VGK,31,82,25,31,56
1,8480036,Miro Heiskanen,D,DAL,25,82,17,39,56
1,8481711,Matias Maccelli,L,ARI,24,82,10,46,56
1,8475151,Kyle Palmieri,C,NYI,33,82,34,21,55
1,8475726,Tyler Toffoli,C,WPG,32,82,23,32,55
1,8478449,Roope Hintz,C,DAL,28,82,19,36,55
1,8474150,Mikael Backlund,C,CGY,35,82,17,38,55
1,8475745,Charlie Coyle,C,BOS,32,82,17,38,55
1,8475798,Mikael Granlund,C,SJS,32,82,16,39,55
1,8479339,Patrik Laine,L,CBJ,26,82,25,29,54
1,8480015,Owen Tippett,R,PHI,25,82,25,29,54
1,8478873,Troy Terry,R,ANA,27,82,23,31,54
1,8482097,Jack Quinn,R,BUF,23,82,23,31,54
1,8478474,Lawson Crouse,L,ARI,27,82,19,35,54
1,8480039,Martin Necas,C,CAR,25,82,18,36,54
1,8477503,Max Domi,C,TOR,29,82,16,38,54
1,8479325,Charlie McAvoy,D,BOS,27,82,10,44,54
1,8480064,Josh Norris,C,OTT,25,82,27,26,53
1,8473986,Alex Killorn,L,ANA,35,82,22,31,53
1,8478519,Anthony Cirelli,C,TBL,27,82,21,32,53
1,8482740,Wyatt Johnston,C,DAL,21,82,20,33,53
1,8478396,Noah Hanifin,D,VGK,27,82,13,40,53
1,8482109,Alexis Lafrenière,L,NYR,23,82,23,29,52
1,8481528,Dylan Cozens,C,BUF,23,82,20,32,52
1,8477407,Anthony Duclair,L,TBL,29,82,20,32,52
1,8480220,Noah Cates,L,PHI,25,82,18,34,52
1,8478397,Rasmus Andersson,D,CGY,28,82,5,47,52
1,8476329,Travis Boyd,C,ARI,31,82,25,26,51
1,8477496,Elias Lindholm,C,VAN,30,82,20,31,51
1,8478401,Pavel Zacha,C,BOS,27,82,17,34,51
1,8478856,Conor Garland,R,VAN,28,82,17,34,51
1,8481068,Yegor Sharangovich,C,CGY,26,82,28,22,50
1,8475794,Tyler Seguin,C,DAL,32,82,24,26,50
1,8470794,Joe Pavelski,C,DAL,40,82,17,33,50
1,8477964,Ivan Barbashev,C,VGK,29,82,16,34,50
1,8477935,Sam Bennett,C,FLA,28,82,23,26,49
1,8484144,Connor Bedard,C,CHI,19,82,21,28,49
1,8473994,Jamie Benn,L,DAL,35,82,18,31,49
1,8480839,Rasmus Dahlin,D,BUF,24,82,12,37,49
1,8476432,Boone Jenner,C,CBJ,31,82,28,20,48
1,8475722,Jason Zucker,L,NSH,32,82,24,24,48
1,8478498,Jake DeBrusk,L,BOS,28,82,21,27,48
1,8476882,Teuvo Teravainen,L,CAR,30,82,20,28,48
1,8478493,Joel Eriksson Ek,C,MIN,27,82,17,31,48
1,8479999,Casey Mittelstadt,C,COL,26,82,16,32,48
1,8475744,Evgeny Kuznetsov,C,CAR,32,82,14,34,48
1,8476826,Yanni Gourde,C,SEA,33,82,14,34,48
1,8480031,Maxime Comtois,L,CAR,25,82,10,38,48
1,8476880,Tom Wilson,R,WSH,30,82,25,22,47
1,8476483,Rickard Rakell,R,PIT,31,82,23,24,47
1,8477932,Aaron Ekblad,D,FLA,28,82,12,35,47
1,8476906,Shayne Gostisbehere,D,DET,31,82,11,36,47
1,8477986,Brandon Montour,D,FLA,30,82,10,37,47
1,8477494,Jonathan Drouin,L,COL,29,82,9,38,47
1,8475287,Erik Haula,L,NJD,33,82,22,24,46
1,8475170,Brayden Schenn,C,STL,33,82,20,26,46
1,8483808,Andrei Kuzmenko,L,CGY,28,82,20,26,46
1,8474037,James van Riemsdyk,L,BOS,35,82,20,26,46
1,8477495,Seth Jones,D,CHI,30,82,14,32,46
1,8475768,Jaden Schwartz,C,SEA,32,82,14,32,46
1,8481606,Jordan Spence,D,LAK,23,82,6,40,46
1,8480893,Kirill Marchenko,R,CBJ,24,82,18,27,45
1,8476399,Blake Coleman,C,CGY,33,82,17,28,45
1,8475218,Mattias Ekholm,D,EDM,34,82,16,29,45
1,8477998,Warren Foegele,L,EDM,28,82,16,29,45
1,8482475,Yegor Chinakhov,R,CBJ,23,82,15,30,45
1,8481596,Shane Pinto,C,OTT,24,82,14,31,45
1,8475753,Justin Faulk,D,STL,32,82,11,34,45
1,8477451,Ryan Hartman,R,MIN,30,82,24,20,44
1,8482101,Danil Gushchin,L,SJS,22,82,23,21,44
1,8482699,Dylan Guenther,R,ARI,21,82,22,22,44
1,8476872,Scott Laughton,C,PHI,30,82,19,25,44
1,8476419,Jean-Gabriel Pageau,C,NYI,32,82,16,28,44
1,8478469,Thomas Chabot,D,OTT,27,82,15,29,44
1,8480798,Philipp Kurashev,C,CHI,25,82,15,29,44
1,8478462,Nicolas Roy,C,VGK,27,82,15,29,44
1,8482720,Matthew Knies,L,TOR,22,82,15,29,44
1,8477021,Alex Kerfoot,C,ARI,30,82,13,31,44
1,8474563,Drew Doughty,D,LAK,35,82,9,35,44
1,8478233,Andrew Mangiapane,L,CGY,28,82,22,21,43
1,8480459,Pius Suter,C,VAN,28,82,22,21,43
1,8481624,Ilya Mikheyev,R,VAN,30,82,20,23,43
1,8477497,Sean Monahan,C,WPG,30,82,15,28,43
1,8479987,Morgan Geekie,C,BOS,26,82,12,31,43
1,8478975,Mason Marchment,L,DAL,29,82,11,32,43
1,8478438,Tommy Novak,C,NSH,27,82,11,32,43
1,8476875,Mike Matheson,D,MTL,30,82,9,34,43
1,8481699,Aku Raty,R,ARI,23,82,7,36,43
1,8475799,Nino Niederreiter,R,WPG,32,82,25,17,42
1,8477456,J.T. Compher,L,DET,29,82,20,22,42
1,8479400,Pierre-Luc Dubois,L,LAK,26,82,20,22,42
1,8475191,Reilly Smith,R,PIT,33,82,19,23,42
