,Team,GA/GP
0,San Jose Sharks,3.5726820666615557
1,Columbus Blue Jackets,3.5612791107922064
2,Anaheim Ducks,3.4748405945010306
3,Ottawa Senators,3.4220292335603295
4,Chicago Blackhawks,3.4012663713315634
5,Montreal Canadiens,3.3377474895337738
6,New York Islanders,3.2681966118696257
7,Detroit Red Wings,3.256923640646586
8,Buffalo Sabres,3.2134936611826825
9,Nashville Predators,3.1958395388068226
10,Tampa Bay Lightning,3.1766219836909597
11,New Jersey Devils,3.1578249349826724
12,Arizona Coyotes,3.108570069801517
13,St Louis Blues,3.0826205742068407
14,Minnesota Wild,3.0739695735094026
15,Washington Capitals,3.0283453290055435
16,Toronto Maple Leafs,2.9999572823687295
17,Colorado Avalanche,2.9894304304588135
18,Dallas Stars,2.9532004711104602
19,Calgary Flames,2.925231209615382
20,Edmonton Oilers,2.8748130216831114
21,Philadelphia Flyers,2.8526734956880895
22,Vegas Golden Knights,2.823439819056814
23,New York Rangers,2.8229241254853044
24,Pittsburgh Penguins,2.7649396018284125
25,Seattle Kraken,2.6975126731686476
26,Los Angeles Kings,2.696532755363278
27,Carolina Hurricanes,2.6926716013652525
28,Vancouver Canucks,2.6600436350194423
29,Boston Bruins,2.596152360846357
30,Florida Panthers,2.585719573788527
31,Winnipeg Jets,2.5497432801781628
