,Abbreviation,Team,Wins,Losses,OTL,Points,Goals For,Goals Against
1,FLA,Florida Panthers,52.4,24.8,4.8,109.6,291.8,216.0
2,CAR,Carolina Hurricanes,49.2,26.0,6.8,105.2,292.6,237.2
3,DAL,Dallas Stars,48.0,26.0,8.0,104.0,283.8,235.6
4,COL,Colorado Avalanche,47.6,28.6,5.8,101.0,303.8,252.6
5,BOS,Boston Bruins,46.8,30.6,4.6,98.2,273.0,239.4
6,VGK,Vegas Golden Knights,46.0,30.0,6.0,98.0,287.4,256.8
7,NJD,New Jersey Devils,45.2,30.6,6.2,96.6,280.6,263.4
8,VAN,Vancouver Canucks,44.6,30.0,7.4,96.6,272.2,256.2
9,NYR,New York Rangers,45.4,31.2,5.4,96.2,279.8,252.2
10,TBL,Tampa Bay Lightning,45.2,31.4,5.4,95.8,301.8,275.8
11,LAK,Los Angeles Kings,44.6,31.4,6.0,95.2,265.8,235.6
12,NSH,Nashville Predators,42.8,30.4,8.8,94.4,274.2,255.4
13,MIN,Minnesota Wild,43.8,31.8,6.4,94.0,253.0,238.6
14,EDM,Edmonton Oilers,44.0,32.2,5.8,93.8,301.2,280.6
15,PIT,Pittsburgh Penguins,43.4,32.0,6.6,93.4,284.0,268.8
16,WPG,Winnipeg Jets,44.2,33.0,4.8,93.2,260.6,245.2
17,TOR,Toronto Maple Leafs,43.4,33.8,4.8,91.6,273.0,253.2
18,CGY,Calgary Flames,41.4,35.0,5.6,88.4,243.6,247.0
19,OTT,Ottawa Senators,40.2,35.6,6.2,86.6,274.8,276.2
20,PHI,Philadelphia Flyers,38.4,34.6,9.0,85.8,239.4,235.8
21,BUF,Buffalo Sabres,39.4,36.2,6.4,85.2,252.6,273.4
22,SEA,Seattle Kraken,39.0,36.8,6.2,84.2,245.6,259.2
23,MTL,Montréal Canadiens,39.0,37.0,6.0,84.0,257.0,274.2
24,UTA,Utah Hockey Club,37.6,36.6,7.8,83.0,252.2,282.2
25,CBJ,Columbus Blue Jackets,37.4,38.0,6.6,81.4,228.6,266.8
26,WSH,Washington Capitals,37.2,38.0,6.8,81.2,235.8,272.4
27,STL,St. Louis Blues,35.4,38.8,7.8,78.6,258.4,286.4
28,DET,Detroit Red Wings,36.0,39.6,6.4,78.4,267.8,302.6
29,NYI,New York Islanders,32.8,42.6,6.6,72.2,238.6,285.4
30,ANA,Anaheim Ducks,32.4,44.2,5.4,70.2,223.6,288.2
31,SJS,San Jose Sharks,24.8,48.8,8.4,58.0,194.0,274.6
32,CHI,Chicago Blackhawks,24.4,49.0,8.6,57.4,191.2,294.8
