,TeamID,Team Name,Abbreviation
0,11,Atlanta Thrashers,ATL
1,34,Hartford Whalers,HFD
2,31,Minnesota North Stars,MNS
3,32,Quebec Nordiques,QUE
4,33,Winnipeg Jets (1979),WIN
5,35,Colorado Rockies,CLR
6,36,Ottawa Senators (1917),SEN
7,37,Hamilton Tigers,HAM
8,38,Pittsburgh Pirates,PIR
9,39,Philadelphia Quakers,QUA
10,40,Detroit Cougars,DCG
11,41,Montreal Wanderers,MWN
12,42,Quebec Bulldogs,QBD
13,43,Montreal Maroons,MMR
14,44,New York Americans,NYA
15,45,St. Louis Eagles,SLE
16,46,Oakland Seals,OAK
17,47,Atlanta Flames,AFM
18,48,Kansas City Scouts,KCS
19,49,Cleveland Barons,CLE
20,50,Detroit Falcons,DFL
21,51,Brooklyn Americans,BRK
22,1,New Jersey Devils,NJD
23,56,California Golden Seals,CGS
24,57,Toronto Arenas,TAN
25,58,Toronto St. Patricks,TSP
26,99,NHL,NHL
27,17,Detroit Red Wings,DET
28,6,Boston Bruins,BOS
29,52,Winnipeg Jets,WPG
30,28,San Jose Sharks,SJS
31,5,Pittsburgh Penguins,PIT
32,14,Tampa Bay Lightning,TBL
33,4,Philadelphia Flyers,PHI
34,10,Toronto Maple Leafs,TOR
35,7,Buffalo Sabres,BUF
36,12,Carolina Hurricanes,CAR
37,53,Arizona Coyotes,ARI
38,20,Calgary Flames,CGY
39,8,Montréal Canadiens,MTL
40,15,Washington Capitals,WSH
41,23,Vancouver Canucks,VAN
42,21,Colorado Avalanche,COL
43,18,Nashville Predators,NSH
44,24,Anaheim Ducks,ANA
45,54,Vegas Golden Knights,VGK
46,55,Seattle Kraken,SEA
47,25,Dallas Stars,DAL
48,27,Phoenix Coyotes,PHX
49,16,Chicago Blackhawks,CHI
50,3,New York Rangers,NYR
51,29,Columbus Blue Jackets,CBJ
52,13,Florida Panthers,FLA
53,22,Edmonton Oilers,EDM
54,30,Minnesota Wild,MIN
55,19,St. Louis Blues,STL
56,9,Ottawa Senators,OTT
57,2,New York Islanders,NYI
58,26,Los Angeles Kings,LAK
