,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Michael DiPietro,BOS,1,6:03,2,2,0,1.000,0.0,0.21,0.13,0,0,0,-,0.0,0.0,0,0,31.00,-
1,Artur Akhtyamov,TOR,1,10:31,5,5,0,1.000,0.0,0.52,0.3,0,0,0,-,0.0,0.0,1,0,46.60,-
2,Nico Daws,N.J,1,60:00,31,30,1,0.968,1.0,2.23,4.45,16,16,0,1.000,0.0,2.97,0,13,26.29,28.00
3,Dylan Garand,NYR,2,125:00,65,62,3,0.954,1.44,3.77,5.24,14,11,3,0.786,1.44,-0.4,0,5,37.49,9.33
4,Trent Miner,COL,4,236:34,105,97,8,0.924,2.03,2.93,9.54,15,15,0,1.000,0.0,2.78,2,18,39.40,26.00
5,Matt Murray,SEA,5,216:52,102,94,8,0.922,2.21,2.62,10.85,28,24,4,0.857,1.11,1.19,5,20,37.09,18.00
6,Drew Commesso,CHI,3,181:43,85,78,7,0.918,2.31,1.85,8.65,22,16,6,0.727,1.98,-1.92,6,16,36.04,13.00
7,Scott Wedgewood,COL,41,2304:04,1002,918,84,0.916,2.19,20.32,106.06,276,230,46,0.833,1.2,5.2,53,191,36.07,18.76
8,Igor Shesterkin,NYR,48,2846:13,1356,1236,120,0.912,2.53,21.17,147.05,354,297,57,0.839,1.2,8.67,43,279,35.38,21.42
9,Devin Cooley,CGY,28,1535:33,762,695,67,0.912,2.62,12.33,87.54,227,196,31,0.863,1.21,11.11,20,166,33.97,20.78
10,Philipp Grubauer,SEA,30,1699:27,816,743,73,0.911,2.58,11.95,88.39,218,178,40,0.817,1.41,0.44,31,178,34.76,19.78
11,Jesper Wallstedt,MIN,31,1759:33,900,820,80,0.911,2.73,13.7,89.97,223,183,40,0.821,1.36,1.37,29,153,34.93,20.36
12,Andrei Vasilevskiy,T.B,53,3134:01,1361,1239,122,0.910,2.34,19.69,148.12,383,325,58,0.849,1.11,13.05,57,257,35.64,22.07
13,Dennis Hildeby,TOR,19,950:36,512,466,46,0.910,2.9,7.3,58.6,151,126,25,0.834,1.58,3.01,15,120,32.71,21.11
14,Ilya Sorokin,NYI,51,2996:06,1436,1305,131,0.909,2.62,18.5,174.96,481,421,60,0.875,1.2,29.24,47,331,31.63,20.31
15,Casey DeSmith,DAL,28,1636:43,712,647,65,0.909,2.38,9.12,79.99,196,165,31,0.842,1.14,5.36,28,141,34.79,22.62
16,Alex Lyon,BUF,35,1987:57,975,886,89,0.909,2.69,12.51,106.49,274,226,48,0.825,1.45,2.83,37,194,35.07,20.01
17,Filip Gustavsson,MIN,47,2790:51,1310,1191,119,0.909,2.56,17.38,135.45,361,297,64,0.823,1.38,2.97,51,247,34.81,19.49
18,Ukko-Pekka Luukkonen,BUF,33,1908:16,866,787,79,0.909,2.48,11.16,92.93,244,202,42,0.828,1.32,3.27,38,173,36.11,19.70
