,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
0,8478460,Zach Werenski,CBJ,D,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8478460.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,8,zachwerenski,40.0,1058.3666666667,26.459166666667,69.05,57.48,54.57,49.83,41.27,54.7,35.21,28.18,55.55,3.97,2.78,58.82,3.59,2.93,55.11,31.18,26.76,53.82,12.81,12.19,51.25,1.59,1.19,57.14,24.49,19.43,55.77,1.97,1.13,63.41,65.35,47.99,57.66,1.15,0.9,56.00,11.27,90.14,1.014,11.0,13.55,7.2,27.72,60.44,26.87,20.81,17.52,60.54
1,8479410,Mikhail Sergachev,UTA,D,https://assets.nhle.com/mugs/nhl/20242025/UTA/8479410.png,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,98,mikhailsergachev,39.0,1008.15,25.85,61.6,59.87,50.71,45.05,42.79,51.29,28.57,30.0,48.78,3.75,3.27,53.39,3.21,3.59,47.2,29.28,29.76,49.6,10.18,12.14,45.60,1.67,1.79,48.28,25.47,23.49,52.03,1.75,1.35,56.41,54.16,55.19,49.53,0.95,0.52,64.71,13.13,89.09,1.022,10.18,13.21,14.46,35.77,41.30,23.51,19.58,26.48,47.02
2,8480069,Cale Makar,COL,D,https://assets.nhle.com/mugs/nhl/20242025/COL/8480069.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,8,calemakar,41.0,1047.6833333333,25.55325203252,68.89,53.43,56.32,48.74,38.6,55.8,34.3,25.08,57.76,4.52,3.04,59.85,4.09,3.12,56.7,35.39,23.42,60.18,13.29,9.79,57.57,1.55,1.43,51.92,29.47,18.17,61.86,1.99,0.84,70.27,63.37,49.72,56.04,1.49,0.74,66.67,13.19,87.9,1.011,14.6,9.56,10.54,27.72,58.09,32.87,16.32,20.45,61.65
3,8482122,Brock Faber,MIN,D,https://assets.nhle.com/mugs/nhl/20242025/MIN/8482122.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,7,brockfaber,40.0,1019.05,25.47625,56.05,61.88,47.53,40.51,44.34,47.74,28.79,30.15,48.85,3.47,2.71,56.19,2.94,2.83,50.89,26.67,28.91,47.99,11.3,10.36,52.17,1.3,1.06,55.00,20.49,24.73,45.31,1.33,1.57,45.95,48.05,55.45,46.43,1.19,0.43,73.68,12.07,91.02,1.031,7.77,11.13,8.13,36.27,48.89,20.02,19.61,20.02,50.0
4,8480036,Miro Heiskanen,DAL,D,https://assets.nhle.com/mugs/nhl/20242025/DAL/8480036.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,4,miroheiskanen,38.0,959.25,25.243421052632,71.12,49.98,58.73,49.41,37.34,56.96,34.09,24.02,58.67,3.63,2.25,61.70,4.27,2.52,62.89,35.4,23.77,59.83,14.57,10.57,57.96,2.13,1.13,65.38,27.77,17.6,61.21,1.08,0.92,54.17,65.41,42.01,60.89,0.72,0.54,57.14,10.64,90.63,1.013,11.13,9.95,6.88,33.21,61.81,29.96,17.64,17.33,63.36
5,8480800,Quinn Hughes,VAN,D,https://assets.nhle.com/mugs/nhl/20242025/VAN/8480800.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,43,quinnhughes,35.0,880.8,25.165714285714,71.87,42.71,62.72,52.38,32.08,62.02,35.63,22.55,61.24,4.84,2.45,66.36,3.79,2.13,64.03,35.56,19.69,64.36,14.31,8.86,61.76,2.66,0.95,73.58,28.34,14.44,66.24,1.63,1.27,56.25,65.73,33.36,66.34,1.08,0.59,64.71,13.58,89.12,1.027,9.33,10.63,4.97,35.42,65.24,26.57,18.12,10.69,71.3
6,8477495,Seth Jones,CHI,D,https://assets.nhle.com/mugs/nhl/20242025/CHI/8477495.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,4,sethjones,24.0,600.38333333333,25.015972222222,57.46,61.86,48.16,41.47,45.77,47.54,28.38,31.18,47.65,3.2,3.8,45.71,3.06,3.87,44.17,27.48,29.48,48.25,10.89,11.99,47.60,1.7,2.0,45.95,22.12,23.32,48.68,1.2,1.6,42.86,54.42,58.9,48.03,0.72,0.58,55.56,11.27,87.82,0.991,11.39,8.89,10.59,31.88,51.82,25.78,14.09,21.99,53.97
7,8481542,Moritz Seider,DET,D,https://assets.nhle.com/mugs/nhl/20242025/DET/8481542.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,53,moritzseider,39.0,975.55,25.014102564103,57.14,59.04,49.18,40.41,42.31,48.85,27.06,27.12,49.94,3.38,3.44,49.55,3.2,3.31,49.18,27.37,27.74,49.67,10.58,9.9,51.65,1.29,1.29,50.00,22.39,23.78,48.49,1.8,1.39,56.41,50.82,54.19,48.39,0.8,1.42,36.00,12.5,87.3,0.998,9.96,10.82,11.32,33.15,46.82,21.59,16.54,23.86,47.5
8,8474600,Roman Josi,NSH,D,https://assets.nhle.com/mugs/nhl/20242025/NSH/8474600.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,59,romanjosi,36.0,898.83333333333,24.967592592593,75.56,54.87,57.93,53.6,40.99,56.67,35.18,28.04,55.65,3.27,3.87,45.79,3.88,3.06,55.93,35.45,26.23,57.47,12.82,11.21,53.33,1.34,1.4,48.78,30.17,20.03,60.11,1.6,1.69,48.65,73.67,43.39,62.93,0.67,1.35,33.33,9.3,86.19,0.955,12.68,8.94,6.48,38.18,66.20,34.18,14.62,14.29,70.52
9,8477948,Travis Sanheim,PHI,D,https://assets.nhle.com/mugs/nhl/20242025/PHI/8477948.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,6,travissanheim,40.0,989.45,24.73625,53.0,64.46,45.12,38.75,44.39,46.61,27.05,28.99,48.27,3.21,3.52,47.75,2.77,3.19,46.45,26.5,31.53,45.66,10.92,11.22,49.32,1.58,1.33,54.17,20.78,27.09,43.41,0.89,1.86,32.35,43.53,57.37,43.14,1.31,1.05,55.56,11.88,87.87,0.997,6.49,13.95,12.01,43.24,35.08,18.25,20.56,23.23,44.01
