teamId,teamFullName,gamesPlayed,wins,losses,otLosses,points,pointPct,goalsFor,goalsAgainst,shotsForPerGame,shotsAgainstPerGame,powerPlayPct,penaltyKillPct,faceoffWinPct,goalsAgainstPerGame,goalsForPerGame,penaltyKillNetPct,powerPlayNetPct,regulationAndOtWins,seasonId,teamShutouts,ties,winsInRegulation,winsInShootout
28,San Jose Sharks,82,53,18,11,117,0.71341,251,199,33.17073,27.17073,0.241666,0.833334,0.537859,2.42682,3.06097,0.872549,0.211111,47,20082009,9,,43,6
6,Boston Bruins,82,53,19,10,116,0.70731,270,190,30.26829,30.79268,0.236421,0.82353,0.509829,2.31707,3.29268,0.849673,0.214057,49,20082009,7,,46,4
17,Detroit Red Wings,82,51,21,10,112,0.68292,289,240,36.15853,27.7317,0.254957,0.782875,0.550679,2.92682,3.52439,0.801223,0.243626,45,20082009,8,,42,6
15,Washington Capitals,82,50,24,8,108,0.65853,268,240,33.51219,29.4878,0.252225,0.806202,0.516649,2.92682,3.26829,0.824289,0.219584,46,20082009,2,,40,4
1,New Jersey Devils,82,51,27,4,106,0.64634,238,207,32.90243,29.45121,0.188925,0.799383,0.512603,2.52439,2.90243,0.836419,0.175895,45,20082009,7,,36,6
16,Chicago Blackhawks,82,46,24,12,104,0.63414,260,209,32.71951,28.58536,0.192837,0.806061,0.480937,2.54878,3.17073,0.836363,0.176308,42,20082009,6,,36,4
23,Vancouver Canucks,82,45,27,10,100,0.60975,243,213,28.4756,29.17073,0.187675,0.814017,0.51862,2.59756,2.96341,0.832884,0.173669,42,20082009,10,,37,3
4,Philadelphia Flyers,82,44,27,11,99,0.60365,260,232,29.76829,32.53658,0.224683,0.829517,0.48334,2.82926,3.17073,0.870229,0.221518,40,20082009,3,,34,4
5,Pittsburgh Penguins,82,45,28,9,99,0.60365,258,233,29.03658,30.29268,0.172222,0.82709,0.490967,2.84146,3.14634,0.847262,0.136111,39,20082009,4,,33,6
20,Calgary Flames,82,46,30,6,98,0.59756,251,246,32.2317,29.76829,0.170391,0.833811,0.512638,3.0,3.06097,0.851002,0.128491,43,20082009,4,,40,3
12,Carolina Hurricanes,82,45,30,7,97,0.59146,236,221,32.62195,29.5,0.187165,0.803987,0.513074,2.69512,2.87804,0.830564,0.163101,42,20082009,6,,35,3
