,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
0,Anaheim Ducks,51,3101:02,21,24,6,19,48,0.471,2959,3478,45.97,2149,2495,46.27,1435,1646,46.58,128,159,44.6,147.22,182.54,44.64,1320,1687,43.9,723,878,45.16,95,136,41.13,13.14,84.51,522,707,42.47,350,451,43.7,63,91,40.91,18.0,79.82,798,980,44.88,373,427,46.63,32,45,41.56,8.58,89.46,1717,2092,45.08,618,698,46.96,27,17,61.36,4.37,97.56,8.92,90.34,0.993
1,Boston Bruins,54,3279:51,26,22,6,26,58,0.537,3111,3242,48.97,2209,2339,48.57,1473,1541,48.87,149,174,46.13,165.81,160.08,50.88,1474,1502,49.53,742,773,48.98,117,146,44.49,15.77,81.11,607,613,49.75,384,379,50.33,71,85,45.51,18.49,77.57,867,889,49.37,358,394,47.61,46,61,42.99,12.85,84.52,1842,1985,48.13,622,682,47.7,28,22,56.0,4.5,96.77,10.12,88.71,0.988
2,Buffalo Sabres,51,3090:57,20,26,5,18,45,0.441,3060,3044,50.13,2209,2235,49.71,1420,1499,48.65,158,173,47.73,148.16,164.61,47.37,1408,1485,48.67,706,803,46.79,126,142,47.01,17.85,82.32,554,589,48.47,325,373,46.56,75,88,46.01,23.08,76.41,854,896,48.8,381,430,46.98,51,54,48.57,13.39,87.44,1856,1864,49.89,635,612,50.92,27,23,54.0,4.25,96.24,11.13,88.46,0.996
3,Carolina Hurricanes,53,3202:04,32,17,4,32,68,0.642,3708,2634,58.47,2681,1954,57.84,1679,1322,55.95,176,144,55.0,183.98,149.62,55.15,1685,1295,56.54,845,739,53.35,136,110,55.28,16.09,85.12,672,597,52.96,410,411,49.94,87,71,55.06,21.22,82.73,1013,698,59.21,435,328,57.01,49,39,55.68,11.26,88.11,2348,1536,60.45,768,499,60.62,37,31,54.41,4.82,93.79,10.48,89.11,0.996
4,Columbus Blue Jackets,52,3165:19,26,19,7,22,59,0.567,3002,3278,47.8,2154,2302,48.34,1517,1512,50.08,170,170,50.0,149.98,160.44,48.32,1330,1522,46.63,762,781,49.38,134,134,50.0,17.59,82.84,552,666,45.32,379,425,47.14,78,82,48.75,20.58,80.71,778,856,47.61,383,356,51.83,56,52,51.85,14.62,85.39,1799,1978,47.63,648,666,49.32,30,34,46.88,4.63,94.89,11.21,88.76,1.0
5,Calgary Flames,51,3100:30,25,19,7,22,57,0.559,3226,3042,51.47,2249,2158,51.03,1489,1484,50.08,135,149,47.54,150.18,150.77,49.9,1435,1466,49.47,749,765,49.47,105,121,46.46,14.02,84.18,555,577,49.03,349,370,48.54,61,73,45.52,17.48,80.27,880,889,49.75,400,395,50.31,44,48,47.83,11.0,87.85,1995,1883,51.44,657,639,50.69,24,26,48.0,3.65,95.93,9.07,89.96,0.99
6,Chicago Blackhawks,52,3135:31,16,31,5,15,37,0.356,2579,3293,43.92,1865,2392,43.81,1278,1639,43.81,134,178,42.95,127.39,174.16,42.24,1181,1584,42.71,647,867,42.73,103,143,41.87,15.92,83.51,487,671,42.06,319,453,41.32,61,92,39.87,19.12,79.69,694,913,43.19,328,414,44.2,42,51,45.16,12.8,87.68,1566,1991,44.03,566,693,44.96,28,29,49.12,4.95,95.82,10.49,89.14,0.996
7,Colorado Avalanche,53,3202:34,30,21,2,29,62,0.585,3334,2938,53.16,2318,2091,52.57,1555,1403,52.57,174,164,51.48,161.68,157.43,50.67,1592,1345,54.2,817,722,53.09,128,119,51.82,15.67,83.52,605,599,50.25,398,385,50.83,70,84,45.45,17.59,78.18,987,746,56.95,419,337,55.42,58,35,62.37,13.84,89.61,1943,1792,52.02,650,597,52.13,35,37,48.61,5.38,93.8,11.19,88.31,0.995
8,Dallas Stars,51,3078:44,33,17,1,31,67,0.657,3170,2834,52.8,2230,2062,51.96,1517,1360,52.73,162,126,56.25,173.22,143.21,54.74,1552,1349,53.5,829,670,55.3,132,104,55.93,15.92,84.48,670,555,54.69,447,333,57.31,84,64,56.76,18.79,80.78,882,794,52.63,382,337,53.13,48,40,54.55,12.57,88.13,1884,1716,52.33,599,593,50.25,23,21,52.27,3.84,96.46,10.68,90.74,1.014
9,Detroit Red Wings,52,3149:19,26,21,5,24,57,0.548,2933,3180,47.98,2073,2303,47.37,1384,1531,47.48,147,159,48.04,153.98,159.62,49.1,1393,1448,49.03,750,748,50.07,123,111,52.56,16.4,85.16,531,576,47.97,342,359,48.79,62,66,48.44,18.13,81.62,862,872,49.71,408,389,51.19,61,45,57.55,14.95,88.43,1786,1979,47.44,553,699,44.17,21,45,31.82,3.8,93.56,10.62,89.61,1.002
