playerId,goalieFullName,teamAbbrevs,positionCode,gamesPlayed,wins,losses,otLosses,birthCity,birthCountryCode,birthDate,birthStateProvinceCode,draftOverall,draftRound,draftYear,firstSeasonForGameType,height,isInHallOfFameYn,lastName,nationalityCode,shootsCatches,shutouts,ties,weight
8462147,Miikka Kiprusoff,CGY,G,76,45,24,5,Turku,FIN,1976-10-26,,116.0,5.0,1995.0,20002001,73,N,Kiprusoff,FIN,L,4,,185
8460705,Evgeni Nabokov,SJS,G,62,41,12,8,Kamenogorsk,KAZ,1975-07-25,,219.0,9.0,1994.0,19992000,72,N,Nabokov,RUS,L,7,,202
8470320,Cam Ward,CAR,G,68,39,23,5,Saskatoon,CAN,1984-02-29,SK,25.0,1.0,2002.0,20052006,73,N,Ward,CAN,L,6,,194
8468685,Henrik Lundqvist,NYR,G,70,38,25,7,Are,SWE,1982-03-02,,205.0,7.0,2000.0,20052006,73,Y,Lundqvist,SWE,L,3,,182
8473404,Niklas Backstrom,MIN,G,71,37,24,8,Helsinki,FIN,1978-02-13,,,,,20062007,74,N,Backstrom,FIN,L,8,,192
8460703,Tim Thomas,BOS,G,54,36,11,7,Flint,USA,1974-04-15,MI,217.0,9.0,1994.0,20022003,71,N,Thomas,USA,L,5,,201
8470594,Marc-Andre Fleury,PIT,G,62,35,18,7,Sorel,CAN,1984-11-28,QC,1.0,1.0,2003.0,20032004,74,N,Fleury,CAN,L,4,,185
8468011,Ryan Miller,BUF,G,59,34,18,6,East Lansing,USA,1980-07-17,MI,138.0,5.0,1999.0,20022003,74,N,Miller,USA,L,5,,170
8460612,Marty Turco,DAL,G,74,33,31,10,Sault Ste. Marie,CAN,1975-08-13,ON,124.0,5.0,1994.0,20002001,71,N,Turco,CAN,L,3,,184
8466141,Roberto Luongo,VAN,G,54,33,13,7,Montréal,CAN,1979-04-04,QC,4.0,1.0,1997.0,19992000,75,Y,Luongo,CAN,L,9,,215
8473461,Steve Mason,CBJ,G,61,33,20,7,Oakville,CAN,1988-05-29,ON,69.0,3.0,2006.0,20082009,76,N,Mason,CAN,R,10,,210
8460535,Jose Theodore,WSH,G,57,32,17,5,Laval,CAN,1976-09-13,QC,44.0,2.0,1994.0,19951996,71,N,Theodore,CAN,R,2,,172
8462047,Martin Biron,PHI,G,55,29,19,5,Lac St. Charles,CAN,1977-08-15,QC,16.0,1.0,1995.0,19951996,74,N,Biron,CAN,L,2,,186
8471469,Pekka Rinne,NSH,G,52,29,15,4,Kempele,FIN,1982-11-03,,258.0,8.0,2004.0,20052006,77,N,Rinne,FIN,L,7,,217
8460806,Dwayne Roloson,EDM,G,63,28,24,9,Simcoe,CAN,1969-10-12,ON,,,,19961997,73,N,Roloson,CAN,L,1,,170
8462152,Chris Mason,STL,G,57,27,21,7,Red Deer,CAN,1976-04-20,AB,122.0,5.0,1995.0,19981999,72,N,Mason,CAN,L,6,,198
8458568,Chris Osgood,DET,G,46,26,9,8,Peace River,CAN,1972-11-26,AB,54.0,3.0,1991.0,19931994,70,N,Osgood,CAN,L,2,,180
8460712,Tomas Vokoun,FLA,G,59,26,23,6,Karlovy Vary,CZE,1976-07-02,,226.0,9.0,1994.0,19961997,73,N,Vokoun,CZE,R,6,,210
8468524,Ilya Bryzgalov,PHX,G,65,26,31,6,Togliatti,RUS,1980-06-22,,44.0,2.0,2000.0,20012002,75,N,Bryzgalov,RUS,L,3,,213
8459140,Nikolai Khabibulin,CHI,G,42,25,8,7,Sverdlovsk,RUS,1973-01-13,,204.0,9.0,1992.0,19941995,73,N,Khabibulin,RUS,L,3,,208
8466339,Scott Clemmensen,NJD,G,40,25,13,1,Des Moines,USA,1977-07-23,IA,215.0,8.0,1997.0,20012002,74,N,Clemmensen,USA,L,2,,200
8469152,Ty Conklin,DET,G,40,25,11,2,Phoenix,USA,1976-03-30,AZ,,,,20012002,73,N,Conklin,USA,L,6,,185
8471679,Carey Price,MTL,G,52,23,16,10,Anahim Lake,CAN,1987-08-16,BC,5.0,1.0,2005.0,20072008,75,N,Price,CAN,L,1,,217
8473972,Jonas Hiller,ANA,G,46,23,15,1,Felben Wellhausen,CHE,1982-02-12,,,,,20072008,74,N,Hiller,CHE,R,4,,191
8462117,Vesa Toskala,TOR,G,53,22,17,11,Tampere,FIN,1977-05-20,,90.0,4.0,1995.0,20012002,70,N,Toskala,FIN,L,1,,198
8471734,Jonathan Quick,LAK,G,44,21,18,2,Milford,USA,1986-01-21,CT,72.0,3.0,2005.0,20072008,73,N,Quick,USA,L,4,,219
8469514,Peter Budaj,COL,G,56,20,29,5,Banská Bystrica,SVK,1982-09-18,,63.0,2.0,2001.0,20052006,73,N,Budaj,SVK,L,2,,196
8469658,Cristobal Huet,CHI,G,41,20,15,4,Saint-Martin-d'Hères,FRA,1975-09-03,,214.0,7.0,2001.0,20022003,73,N,Huet,FRA,L,3,,205
8455710,Martin Brodeur,NJD,G,31,19,9,3,Montréal,CAN,1972-05-06,QC,20.0,1.0,1990.0,19911992,74,Y,Brodeur,CAN,L,5,,220
8462044,Jean-Sebastien Giguere,ANA,G,46,19,18,6,Montréal,CAN,1977-05-16,QC,13.0,1.0,1995.0,19961997,73,N,Giguere,CAN,L,2,,202
8470140,Kari Lehtonen,ATL,G,46,19,22,3,Helsinki,FIN,1983-11-16,,2.0,1.0,2002.0,20032004,76,N,Lehtonen,FIN,L,3,,209
8470860,Jaroslav Halak,MTL,G,34,18,14,1,Bratislava,SVK,1985-05-13,,271.0,9.0,2003.0,20062007,71,N,Halak,SVK,L,1,,189
