playerId,goalieFullName,teamAbbrevs,positionCode,gamesPlayed,wins,losses,otLosses,birthCity,birthCountryCode,birthDate,birthStateProvinceCode,draftOverall,draftRound,draftYear,firstSeasonForGameType,height,isInHallOfFameYn,lastName,nationalityCode,shootsCatches,shutouts,ties,weight,Last Season
8447687,Dominik Hasek,DET,G,41,27,10,3,Pardubice,CZE,1965-01-29,,199.0,10.0,1983.0,19901991,73,Y,Hasek,CZE,L,5,,166,2007-2008
8448382,Curtis Joseph,TOR,G,21,5,9,1,Keswick,CAN,1967-04-29,ON,,,,19891990,71,N,Joseph,CAN,L,0,,193,2008-2009
8460806,Dwayne Roloson,TBL,G,40,13,16,3,Simcoe,CAN,1969-10-12,ON,,,,19961997,73,N,Roloson,CAN,L,1,,170,2011-2012
8448535,Olie Kolzig,TBL,G,8,2,4,1,Johannesburg,ZAF,1970-04-06,,19.0,1.0,1989.0,19891990,75,N,Kolzig,DEU,L,0,,224,2008-2009
8455710,Martin Brodeur,STL,G,7,3,3,0,Montréal,CAN,1972-05-06,QC,20.0,1.0,1990.0,19911992,74,Y,Brodeur,CAN,L,1,,220,2014-2015
8458568,Chris Osgood,DET,G,11,5,3,2,Peace River,CAN,1972-11-26,AB,54.0,3.0,1991.0,19931994,70,N,Osgood,CAN,L,0,,180,2010-2011
8459140,Nikolai Khabibulin,CHI,G,4,1,0,1,Sverdlovsk,RUS,1973-01-13,,204.0,9.0,1992.0,19941995,73,N,Khabibulin,RUS,L,0,,208,2013-2014
8459308,Manny Legace,CAR,G,28,10,7,5,Toronto,CAN,1973-02-04,ON,188.0,8.0,1993.0,19981999,70,N,Legace,CAN,L,1,,200,2009-2010
8460704,Johan Hedberg,NJD,G,19,6,10,3,Leksand,SWE,1973-05-05,,218.0,9.0,1994.0,20002001,72,N,Hedberg,SWE,L,1,,190,2012-2013
8470090,Fredrik Norrena,CBJ,G,8,1,3,2,Pietarsaari,FIN,1973-11-29,,213.0,7.0,2002.0,20062007,72,N,Norrena,FIN,L,0,,190,2008-2009
8460703,Tim Thomas,"FLA,DAL",G,48,18,24,4,Flint,USA,1974-04-15,MI,217.0,9.0,1994.0,20022003,71,N,Thomas,USA,L,0,,201,2013-2014
8459579,Patrick Lalime,BUF,G,7,0,5,0,St. Bonaventure,CAN,1974-07-07,QC,156.0,6.0,1993.0,19961997,75,N,Lalime,CAN,L,0,,192,2010-2011
8458988,Manny Fernandez,BOS,G,28,16,8,3,Etobicoke,CAN,1974-08-27,ON,52.0,3.0,1992.0,19941995,72,N,Fernandez,CAN,L,1,,207,2008-2009
8469675,Martin Gerber,EDM,G,3,3,0,0,Burgdorf,CHE,1974-09-03,,232.0,8.0,2001.0,20022003,72,N,Gerber,CHE,L,0,,205,2010-2011
8459432,Jocelyn Thibault,BUF,G,12,3,4,2,Montréal,CAN,1975-01-12,QC,10.0,1.0,1993.0,19931994,71,N,Thibault,CAN,L,2,,169,2007-2008
8459463,Kevin Weekes,NJD,G,16,7,5,0,Toronto,CAN,1975-04-04,ON,41.0,2.0,1993.0,19971998,74,N,Weekes,CAN,L,0,,215,2008-2009
8460705,Evgeni Nabokov,TBL,G,11,3,6,2,Kamenogorsk,KAZ,1975-07-25,,219.0,9.0,1994.0,19992000,72,N,Nabokov,RUS,L,0,,202,2014-2015
8460612,Marty Turco,BOS,G,5,2,2,0,Sault Ste. Marie,CAN,1975-08-13,ON,124.0,5.0,1994.0,20002001,71,N,Turco,CAN,L,0,,184,2011-2012
8460715,John Grahame,CAR,G,17,5,7,1,Denver,USA,1975-08-31,CO,229.0,9.0,1994.0,19992000,75,N,Grahame,USA,L,0,,220,2007-2008
8469658,Cristobal Huet,CHI,G,48,26,14,4,Saint-Martin-d'Hères,FRA,1975-09-03,,214.0,7.0,2001.0,20022003,73,N,Huet,FRA,L,4,,205,2009-2010
8469152,Ty Conklin,DET,G,15,5,6,1,Phoenix,USA,1976-03-30,AZ,,,,20012002,73,N,Conklin,USA,L,1,,185,2011-2012
8462152,Chris Mason,NSH,G,11,1,7,1,Red Deer,CAN,1976-04-20,AB,122.0,5.0,1995.0,19981999,72,N,Mason,CAN,L,0,,198,2012-2013
8460516,Dan Cloutier,LAK,G,9,2,4,1,Mont-Laurier,CAN,1976-04-22,QC,26.0,1.0,1994.0,19971998,73,N,Cloutier,CAN,L,0,,195,2007-2008
8460712,Tomas Vokoun,PIT,G,20,13,4,0,Karlovy Vary,CZE,1976-07-02,,226.0,9.0,1994.0,19961997,73,N,Vokoun,CZE,R,3,,210,2012-2013
8460535,Jose Theodore,FLA,G,15,4,6,3,Laval,CAN,1976-09-13,QC,44.0,2.0,1994.0,19951996,71,N,Theodore,CAN,R,0,,172,2012-2013
8462147,Miikka Kiprusoff,CGY,G,24,8,14,2,Turku,FIN,1976-10-26,,116.0,5.0,1995.0,20002001,73,N,Kiprusoff,FIN,L,0,,185,2012-2013
8462052,Brian Boucher,PHI,G,4,0,2,0,Woonsocket,USA,1977-01-02,RI,22.0,1.0,1995.0,19992000,74,N,Boucher,USA,L,0,,200,2012-2013
8462161,Brent Johnson,PIT,G,16,6,7,2,Farmington,USA,1977-03-12,MI,129.0,5.0,1995.0,19981999,75,N,Johnson,USA,L,0,,199,2011-2012
8462044,Jean-Sebastien Giguere,COL,G,22,11,6,1,Montréal,CAN,1977-05-16,QC,13.0,1.0,1995.0,19961997,73,N,Giguere,CAN,L,2,,202,2013-2014
8462117,Vesa Toskala,"TOR,CGY",G,32,9,12,3,Tampere,FIN,1977-05-20,,90.0,4.0,1995.0,20012002,70,N,Toskala,FIN,L,1,,198,2009-2010
8462102,Jean-Sebastien Aubin,LAK,G,19,5,6,1,Montréal,CAN,1977-07-19,QC,76.0,3.0,1995.0,19981999,71,N,Aubin,CAN,R,0,,180,2007-2008
8466339,Scott Clemmensen,NJD,G,3,0,0,1,Des Moines,USA,1977-07-23,IA,215.0,8.0,1997.0,20012002,74,N,Clemmensen,USA,L,0,,200,2014-2015
8462055,Marc Denis,MTL,G,1,0,0,0,Montréal,CAN,1977-08-01,QC,25.0,1.0,1995.0,19961997,73,N,Denis,CAN,L,0,,193,2008-2009
8479188,David Ayres,CAR,G,1,1,0,0,Whitby,CAN,1977-08-12,ON,,,,20192020,72,N,Ayres,CAN,L,0,,201,2019-2020
8462047,Martin Biron,NYR,G,2,0,1,0,Lac St. Charles,CAN,1977-08-15,QC,16.0,1.0,1995.0,19951996,74,N,Biron,CAN,L,0,,186,2013-2014
8465161,Steve Valiquette,NYR,G,6,2,3,0,Etobicoke,CAN,1977-08-20,ON,190.0,8.0,1996.0,19992000,78,N,Valiquette,CAN,L,1,,210,2009-2010
8464999,Mathieu Garon,TBL,G,18,5,9,2,Chandler,CAN,1978-01-09,QC,44.0,2.0,1996.0,20002001,73,N,Garon,CAN,R,0,,198,2012-2013
8466290,David Aebischer,PHX,G,1,0,1,0,Fribourg,CHE,1978-02-07,,161.0,6.0,1997.0,20002001,73,N,Aebischer,CHE,L,0,,187,2007-2008
8473404,Niklas Backstrom,CGY,G,4,2,2,0,Helsinki,FIN,1978-02-13,,,,,20062007,74,N,Backstrom,FIN,L,0,,192,2015-2016
8466303,Johan Holmqvist,"TBL,DAL",G,47,21,16,6,Tolfta,SWE,1978-05-24,,175.0,7.0,1997.0,20002001,75,N,Holmqvist,SWE,L,2,,198,2007-2008
8470584,Wade Dubielewicz,MIN,G,3,1,1,0,Invermere,CAN,1979-01-30,BC,,,,20032004,70,N,Dubielewicz,CAN,L,0,,185,2009-2010
8479115,Jorge Alves,CAR,G,1,0,0,0,Boston,USA,1979-01-30,MA,,,,20162017,69,N,Alves,USA,L,0,,185,2016-2017
8466141,Roberto Luongo,FLA,G,43,18,16,5,Montréal,CAN,1979-04-04,QC,4.0,1.0,1997.0,19992000,75,Y,Luongo,CAN,L,1,,215,2018-2019
8468550,Mikael Tellqvist,"PHX,BUF",G,21,9,6,1,Sundbyberg,SWE,1979-09-19,,70.0,3.0,2000.0,20012002,72,N,Tellqvist,SWE,L,0,,189,2008-2009
8468166,Curtis Sanford,CBJ,G,36,10,18,4,Owen Sound,CAN,1979-10-05,ON,,,,20022003,71,N,Sanford,CAN,L,1,,187,2011-2012
8467391,Jason LaBarbera,ANA,G,5,2,0,1,Burnaby,CAN,1980-01-18,BC,66.0,3.0,1998.0,20002001,75,N,LaBarbera,CAN,L,0,,232,2014-2015
8469732,Joey MacDonald,CGY,G,11,5,4,1,Pictou,CAN,1980-02-07,NS,,,,20062007,72,N,MacDonald,CAN,L,0,,197,2013-2014
8467453,Andrew Raycroft,DAL,G,10,2,8,0,Belleville,CAN,1980-05-04,ON,135.0,5.0,1998.0,20002001,73,N,Raycroft,CAN,L,0,,180,2011-2012
8467511,Antero Niittymaki,SJS,G,24,12,7,3,Turku,FIN,1980-06-18,,168.0,6.0,1998.0,20032004,73,N,Niittymaki,FIN,L,0,,195,2010-2011
8468540,Dan Ellis,FLA,G,8,4,3,1,Saskatoon,CAN,1980-06-19,SK,60.0,2.0,2000.0,20032004,73,N,Ellis,CAN,L,1,,195,2014-2015
