,Abbreviation,Team,Wins,Losses,OTL,Goals For,Goals Against,Points,Presidents,Playoffs,Pts_90PI_low,Pts_90PI_high,P_60Pts,P_70Pts,P_80Pts,P_90Pts,P_100Pts,P_110Pts,P_120Pts
0,WPG,Winnipeg Jets,55.87674753740995,21.02922285551296,5.09402960707709,288.6334127496918,198.1831547527113,116.84752468189699,0.7837352211880547,1.0,115.0,130.0,1.0,1.0,1.0,1.0,1.0,0.9985266108455816,0.7773385560786287
1,WSH,Washington Capitals,51.83736892980952,20.934254298655638,9.228376771534858,297.03970059728493,219.1297468470911,112.9031146311539,0.18471268911488842,1.0,110.0,125.0,1.0,1.0,1.0,1.0,0.9999640636791606,0.9636324433104538,0.3596147626406009
2,DAL,Dallas Stars,52.42164414447568,26.267177242568323,3.311178612955996,281.46784198252743,217.43345175615852,108.15446690190736,0.02181334674955978,0.9999640636791606,104.0,120.0,1.0,1.0,1.0,1.0,0.9961907499910159,0.7190857799978438,0.05120925719624825
3,VGK,Vegas Golden Knights,49.51093608437174,25.22928821788957,7.259775697738689,284.5821779999701,234.49639927464582,106.28164786648217,0.0034858231214288282,0.9996047004707658,101.0,116.0,1.0,1.0,1.0,1.0,0.9762101556042693,0.4512883171020951,0.006288856146907679
4,TBL,Tampa Bay Lightning,49.65614013202699,27.09034096594449,5.253518902028515,295.8814967073161,222.2417958309659,104.5657991660825,0.0023358608545657094,0.9994968915082474,100.0,115.0,1.0,1.0,1.0,1.0,0.9596435116972725,0.3660473640708664,0.0034139504797498833
5,FLA,Florida Panthers,49.98816447524711,27.81160538678724,4.200230137965626,279.2014415861536,235.2570206595753,104.17655908845984,0.0010421533043447012,0.9995687641499263,100.0,115.0,1.0,1.0,1.0,0.9999640636791606,0.9603981744349014,0.33650770834082006,0.001832752362813095
6,TOR,Toronto Maple Leafs,50.271123943365055,28.257206381614534,3.4716696750204106,271.732584527237,240.0475629238666,104.01391756175052,0.0017608797211341504,0.99931720990405,100.0,115.0,1.0,1.0,1.0,0.999928127358321,0.9508031767707622,0.3404247673123226,0.0037014410464656627
7,CAR,Carolina Hurricanes,48.065148533219556,28.744508546704992,5.190342920075446,275.543843126618,231.36979247422917,101.32063998651456,0.0004671721709131419,0.9988141014122974,99.0,113.0,1.0,1.0,1.0,0.9998921910374816,0.9273726955834262,0.22722535666798432,0.00028749056671577966
8,EDM,Edmonton Oilers,47.779424513605214,28.82764952841162,5.392925957983165,274.989341997906,242.0268854869037,100.9517749851936,0.0003234268875552521,0.9972688396162,97.0,112.0,1.0,1.0,1.0,0.9997125094332843,0.8744384949868832,0.15301685413447372,0.00021561792503683473
9,NJD,New Jersey Devils,45.90139873375412,28.82023792161676,7.278363344629141,256.4686685597373,209.04991073118705,99.08116081213738,7.187264167894492e-05,0.9938189528156107,96.0,110.0,1.0,1.0,1.0,0.9986703561289395,0.8051532684083803,0.08038954971789988,0.0
