,Team,Abbreviation,GA/GP,pGA/GP,pxGA/GP,Agg GA/GP,Normalized GA/GP
0,Vancouver Canucks,VAN,3.6036679250438035,3.0306200207113765,3.0299358426340333,3.3801039827656494,3.7024958127697762
1,San Jose Sharks,SJS,3.483326504870159,3.204377665076722,3.087264297177134,3.361653986881764,3.6732298281783207
2,Anaheim Ducks,ANA,3.4292892653767657,3.2210488305093525,3.3407397071961404,3.3612414922140212,3.672575515696834
3,Toronto Maple Leafs,TOR,3.396407226236855,3.1733723804596043,3.185982034042673,3.310810698277865,3.5925805472665426
4,Edmonton Oilers,EDM,3.318690942554939,3.018673999867266,2.9900581457460707,3.1985365909534154,3.4144877002189915
5,Nashville Predators,NSH,3.299705435590046,2.8952512762735183,2.9922161308628823,3.1526344474614305,3.3416762246714806
6,Florida Panthers,FLA,3.2409507210661723,2.964653136284563,2.9566062888665674,3.1323095097853657,3.309436146321678
7,Chicago Blackhawks,CHI,3.199076553670371,2.963594867414863,3.120207369188662,3.1244660712258407,3.2969946285310114
8,Montreal Canadiens,MTL,3.190806516786901,2.9279581558303516,3.1636844833064637,3.1142255520362188,3.2807507833454554
9,New York Rangers,NYR,3.114004678842498,2.889760555555143,2.981064553927119,3.036592910581347,3.157607358115932
10,Seattle Kraken,SEA,3.087342483241384,2.8549197004584155,3.062956747926979,3.0195816731775684,3.1306235791018997
11,Ottawa Senators,OTT,3.063170491195306,2.773768595715776,2.7138460282181347,2.943712269533549,3.0102770591361083
12,Pittsburgh Penguins,PIT,3.0603263203690694,2.877195564080298,3.0342216984923667,3.006178200201776,3.1093625535683302
13,Calgary Flames,CGY,3.0537164094971443,2.7353931757141163,2.8583480148614915,2.943095380627975,3.009298529855192
14,Utah Mammoth,UTA,3.048764705657959,2.7958025656791214,2.994127530418079,2.9719252171874975,3.0550293559125623
15,St Louis Blues,STL,3.047913999092288,2.800441425820756,2.854675479620508,2.9573654414343635,3.031934165240003
16,Columbus Blue Jackets,CBJ,3.045949418370317,2.9143231798169826,3.0355517288805336,3.0079503257315072,3.1121735568213196
17,Boston Bruins,BOS,3.040865438740428,2.859124359211578,3.225814818500349,3.0103223682459417,3.115936167941377
18,Vegas Golden Knights,VGK,3.036363665650531,2.8972162792231115,2.8037932120740785,2.9718196475574437,3.0548618979258
19,Buffalo Sabres,BUF,3.0337369994419374,2.831866763554246,3.076600863189986,2.981928358405669,3.0708966644257774
20,New Jersey Devils,NJD,3.022672310108092,2.7735786223938197,2.837554195348489,2.9325630849245394,2.9925918592570366
21,Winnipeg Jets,WPG,3.0072715689496294,2.802992381036527,2.974096480008855,2.9464241365504753,3.014578710953861
22,Philadelphia Flyers,PHI,3.0019694246896886,2.730028645217821,2.771069622177713,2.9004270281612485,2.9416165989922876
23,Detroit Red Wings,DET,2.9318818813417016,2.806737527289402,2.934124180066873,2.8970881150668264,2.936320306256585
24,Carolina Hurricanes,CAR,2.8973206310737423,2.726822065243904,2.7172933611357344,2.8297780329482065,2.829550860966157
25,Washington Capitals,WSH,2.875778401770243,2.7799801532426542,3.1261212654966966,2.876492607192428,2.9036510406427216
26,Los Angeles Kings,LAK,2.8353998195834276,2.712087881850591,2.7662246342656873,2.7932632066332816,2.7716298537736495
27,Minnesota Wild,MIN,2.821519482426527,2.6782076830802684,2.855576395927117,2.7851384390946397,2.758742082790311
28,Tampa Bay Lightning,TBL,2.7656646763406147,2.6473725460768263,2.7616975376776582,2.732106494613829,2.6746210846178453
29,New York Islanders,NYI,2.764595331215277,2.7010327909300624,3.185451174185334,2.7930919626621233,2.771358221007288
30,Dallas Stars,DAL,2.742927935065293,2.7271560173675398,2.891224839424301,2.7548244575894127,2.7106570576650477
31,Colorado Avalanche,COL,2.4656042994522465,2.540521399899564,2.8369677214594144,2.527431063998284,2.3499582480328334
